Year,IWM Ret %,IWM Value,Strategy Ret %,Strategy Value
2015,-3.92,9607.53,-10.28,8972.22
2016,21.59,11681.92,24.03,11128.51
2017,14.58,13385.45,26.92,14124.78
2018,-11.12,11896.81,-10.8,12599.26
2019,25.39,14917.38,8.74,13700.08
2020,20.03,17905.45,5.11,14399.72
2021,14.54,20508.2,23.04,17716.86
2022,-20.48,16307.14,-13.67,15294.41
2023,16.83,19051.25,-11.15,13589.44
2024,11.38,21220.08,11.32,15128.26
2025,12.66,23906.04,-6.93,14079.44
2026,19.22,28500.7,37.74,19392.89
