Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-3.69,9630.6
2016,7.1,11755.65,-10.43,8626.5
2017,32.66,15595.46,118.06,18811.09
2018,-0.13,15575.78,5.8,19901.35
2019,38.96,21644.35,55.79,31005.28
2020,48.41,32121.54,109.79,65045.27
2021,27.42,40929.17,82.98,119020.67
2022,-32.58,27595.68,-31.86,81102.66
2023,54.86,42733.44,85.76,150658.58
2024,25.58,53663.9,58.27,238443.9
2025,20.77,64811.27,12.55,268361.34
2026,17.57,76199.17,11.28,298632.09
