Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2014,20.12,12012.37,57.27,15726.73
2015,9.44,13145.85,-14.99,13369.7
2016,7.1,14078.93,-9.21,12138.77
2017,32.66,18677.6,98.11,24047.91
2018,-0.13,18654.03,13.24,27232.47
2019,38.96,25921.93,4.51,28459.79
2020,48.41,38469.73,89.73,53996.94
2021,27.42,49018.03,79.43,96884.83
2022,-32.58,33049.43,-25.91,71781.03
2023,54.86,51178.89,37.29,98547.71
2024,25.58,64269.55,56.74,154466.82
2025,21.78,78266.9,16.55,180025.34
