Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-23.59,7641.42
2016,12.0,11344.1,14.13,8721.22
2017,21.71,13806.38,71.37,14945.94
2018,-4.57,13175.57,-15.3,12659.53
2019,31.22,17289.49,47.44,18665.21
2020,18.33,20458.94,-11.76,16470.2
2021,28.73,26336.53,98.64,32716.29
2022,-18.18,21549.77,-33.22,21848.44
2023,26.18,27190.59,2.82,22464.32
2024,24.89,33957.36,63.57,36744.22
2025,17.72,39974.29,13.64,41757.55
2026,9.07,43600.29,-22.08,32539.34
