Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-23.59,7641.41
2016,12.0,11344.1,2.08,7800.72
2017,21.71,13806.38,71.37,13368.44
2018,-4.57,13175.57,-9.78,12060.46
2019,31.22,17289.48,47.44,17781.94
2020,18.33,20458.93,16.64,20741.07
2021,28.73,26336.53,98.64,41199.91
2022,-18.18,21549.77,-49.46,20822.13
2023,26.18,27190.59,3.23,21495.23
2024,24.89,33957.37,63.57,35159.11
2025,17.72,39974.29,23.59,43453.81
2026,9.07,43600.29,-13.06,37780.13
