Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-15.1,8489.64
2016,7.1,11755.65,-17.34,7017.88
2017,32.66,15595.46,106.3,14478.1
2018,-0.13,15575.78,20.61,17462.02
2019,38.96,21644.35,24.96,21819.94
2020,48.41,32121.54,107.25,45222.3
2021,27.42,40929.17,82.98,82748.33
2022,-32.58,27595.67,-22.6,64047.51
2023,54.86,42733.44,79.31,114841.1
2024,25.58,53663.91,58.27,181756.42
2025,20.77,64811.27,31.54,239086.43
2026,16.78,75687.53,11.52,266617.85
