Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-14.73,8526.73
2016,7.1,11755.65,-13.55,7371.68
2017,32.66,15595.46,118.06,16074.82
2018,-0.13,15575.79,16.3,18694.47
2019,38.96,21644.35,-0.82,18541.7
2020,48.41,32121.53,78.91,33173.31
2021,27.42,40929.18,79.73,59622.16
2022,-32.58,27595.67,-24.46,45041.15
2023,54.86,42733.45,39.44,62803.5
2024,25.58,53663.92,56.92,98553.27
2025,20.77,64811.28,10.41,108817.56
2026,16.88,75753.4,7.71,117212.5
