Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-24.41,7558.54
2016,12.0,11344.1,14.1,8623.97
2017,21.71,13806.38,71.37,14779.28
2018,-4.57,13175.57,-15.3,12518.37
2019,31.22,17289.49,38.79,17374.1
2020,18.33,20458.93,-8.87,15833.38
2021,28.73,26336.53,98.64,31451.32
2022,-18.18,21549.77,-37.09,19785.22
2023,26.18,27190.59,0.37,19858.23
2024,24.89,33957.37,63.57,32481.51
2025,17.72,39974.3,15.63,37558.62
2026,9.94,43948.93,-11.04,33412.08
