Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-23.57,7643.32
2016,12.0,11344.1,11.32,8508.22
2017,21.71,13806.38,71.37,14580.91
2018,-4.57,13175.57,-8.02,13410.82
2019,31.22,17289.49,46.46,19641.76
2020,18.33,20458.93,-7.99,18072.04
2021,28.73,26336.53,98.64,35898.17
2022,-18.18,21549.77,-34.27,23595.41
2023,26.18,27190.59,41.38,33358.94
2024,24.89,33957.36,63.57,54564.24
2025,17.72,39974.29,14.59,62527.81
2026,9.99,43968.96,-12.87,54478.02
