Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-18.72,8127.97
2016,7.1,11755.65,-17.24,6726.74
2017,32.66,15595.47,114.63,14437.68
2018,-0.13,15575.78,20.61,17413.26
2019,38.96,21644.35,25.14,21791.1
2020,48.41,32121.53,108.15,45357.79
2021,27.42,40929.17,82.98,82996.29
2022,-32.58,27595.67,-22.6,64239.41
2023,54.86,42733.44,79.02,115002.56
2024,25.58,53663.92,58.27,182011.93
2025,20.77,64811.28,30.97,238387.43
2026,17.57,76199.19,16.28,277198.91
