Year,IWM Ret %,IWM Value,Strategy Ret %,Strategy Value
2015,-3.92,9607.52,-24.64,7536.27
2016,21.59,11681.91,50.8,11364.83
2017,14.58,13385.44,39.15,15813.73
2018,-11.12,11896.81,-18.9,12824.9
2019,25.39,14917.38,8.11,13865.53
2020,20.03,17905.45,31.25,18197.97
2021,14.54,20508.2,27.88,23270.9
2022,-20.48,16307.13,-19.37,18762.25
2023,16.83,19051.24,-50.77,9237.53
2024,11.38,21220.07,7.21,9903.19
2025,12.66,23906.03,-25.84,7344.32
2026,19.22,28500.68,53.14,11247.34
