Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-12.1,8789.78
2016,12.0,11344.1,4.78,9210.11
2017,21.71,13806.38,71.37,15783.78
2018,-4.57,13175.57,-8.02,14517.16
2019,31.22,17289.5,44.91,21036.17
2020,18.33,20458.94,21.28,25511.89
2021,28.73,26336.54,98.64,50676.63
2022,-18.18,21549.78,-31.78,34574.08
2023,26.18,27190.6,11.9,38687.92
2024,24.89,33957.38,63.57,63280.68
2025,17.72,39974.31,21.58,76938.01
2026,10.91,44334.47,-12.32,67457.54
