Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,7.92,10791.72
2016,7.1,11755.65,7.4,11590.64
2017,32.66,15595.46,59.23,18456.03
2018,-0.13,15575.78,12.72,20802.79
2019,38.96,21644.35,22.92,25570.78
2020,48.41,32121.53,66.7,42626.7
2021,27.42,40929.17,47.97,63076.62
2022,-32.58,27595.67,-18.42,51455.86
2023,54.86,42733.44,53.37,78915.38
2024,25.58,53663.91,39.85,110362.55
2025,20.77,64811.27,22.74,135460.88
2026,17.57,76199.17,13.51,153759.61
