Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-15.1,8489.93
2016,7.1,11755.65,-10.36,7610.07
2017,32.66,15595.46,118.06,16594.66
2018,-0.13,15575.78,21.22,20115.89
2019,38.96,21644.35,26.0,25345.73
2020,48.41,32121.54,108.17,52762.03
2021,27.42,40929.18,82.98,96544.65
2022,-32.58,27595.68,-21.05,76222.4
2023,54.86,42733.45,76.39,134445.07
2024,25.58,53663.92,56.0,209732.24
2025,20.77,64811.28,30.52,273750.07
2026,17.57,76199.19,16.69,319438.71
