Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.84,-23.59,7641.42
2016,12.0,11344.09,2.08,7800.72
2017,21.71,13806.37,71.37,13368.43
2018,-4.57,13175.56,-9.78,12060.45
2019,31.22,17289.48,47.44,17781.93
2020,18.33,20458.92,16.64,20741.07
2021,28.73,26336.52,98.64,41199.91
2022,-18.18,21549.76,-39.25,25029.39
2023,26.18,27190.58,6.58,26677.23
2024,24.89,33957.35,55.17,41394.84
2025,17.72,39974.28,19.32,49393.4
2026,9.07,43600.27,-16.71,41141.59
