Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,1.49,10148.64
2016,7.1,11755.65,0.13,10162.19
2017,32.66,15595.47,61.49,16411.16
2018,-0.13,15575.78,6.15,17420.5
2019,38.96,21644.34,17.64,20493.77
2020,48.41,32121.53,68.09,34447.98
2021,27.42,40929.16,49.51,51503.83
2022,-32.58,27595.67,-18.16,42149.63
2023,54.86,42733.44,53.6,64740.4
2024,25.58,53663.9,40.51,90963.71
2025,20.77,64811.26,23.31,112162.93
2026,17.57,76199.16,13.19,126958.17
