Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.54,-15.1,8489.63
2016,7.1,11755.65,-10.43,7604.49
2017,32.66,15595.46,118.06,16582.49
2018,-0.13,15575.78,20.61,20000.13
2019,38.96,21644.35,25.14,25028.32
2020,48.41,32121.53,108.15,52096.02
2021,27.42,40929.16,82.98,95325.98
2022,-32.58,27595.67,-22.6,73782.64
2023,54.86,42733.43,75.21,129271.03
2024,25.58,53663.9,55.99,201653.18
2025,20.77,64811.26,29.43,261001.8
2026,17.57,76199.16,16.31,303579.15
