Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-25.12,7487.68
2016,12.0,11344.09,13.41,8491.69
2017,21.71,13806.38,71.37,14552.58
2018,-4.57,13175.56,-15.3,12326.34
2019,31.22,17289.48,43.61,17701.96
2020,18.33,20458.93,-3.55,17073.9
2021,28.73,26336.52,98.64,33915.47
2022,-18.18,21549.76,-45.56,18464.76
2023,26.18,27190.59,6.41,19647.55
2024,24.89,33957.36,63.57,32136.92
2025,17.72,39974.29,12.43,36132.02
2026,9.96,43956.0,-20.74,28639.92
