Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-18.72,8127.97
2016,7.1,11755.65,-19.97,6504.68
2017,32.66,15595.46,109.66,13637.93
2018,-0.13,15575.77,-8.3,12505.37
2019,38.96,21644.34,24.22,15534.24
2020,48.41,32121.53,103.67,31638.19
2021,27.42,40929.16,82.98,57891.98
2022,-32.58,27595.67,-22.6,44808.59
2023,54.86,42733.43,80.43,80847.36
2024,25.58,53663.89,58.27,127955.26
2025,20.77,64811.25,33.77,171171.63
2026,16.78,75687.51,12.12,191923.56
