Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-22.94,7706.21
2016,12.0,11344.1,2.79,7921.01
2017,21.71,13806.38,71.37,13574.59
2018,-4.57,13175.57,-8.02,12485.25
2019,31.22,17289.49,37.57,17176.0
2020,18.33,20458.93,21.28,20830.41
2021,28.73,26336.53,98.64,41377.39
2022,-18.18,21549.77,-36.45,26293.88
2023,26.18,27190.59,41.38,37174.0
2024,24.89,33957.36,63.57,60804.41
2025,17.72,39974.3,12.93,68664.76
2026,9.82,43901.2,-20.88,54325.3
