Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-3.69,9630.6
2016,7.1,11755.65,-11.01,8570.3
2017,32.66,15595.47,102.49,17353.6
2018,-0.13,15575.78,-7.14,16114.14
2019,38.96,21644.34,63.2,26298.06
2020,48.41,32121.53,98.55,52215.18
2021,27.42,40929.16,76.31,92060.67
2022,-32.58,27595.68,-31.92,62674.26
2023,54.86,42733.44,59.44,99925.23
2024,25.58,53663.91,52.64,152521.26
2025,20.77,64811.27,14.39,174468.5
2026,17.57,76199.18,22.97,214537.15
