Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-15.1,8489.63
2016,7.1,11755.65,-10.43,7604.49
2017,32.66,15595.46,118.06,16582.49
2018,-0.13,15575.78,20.61,20000.12
2019,38.96,21644.35,25.14,25028.32
2020,48.41,32121.54,108.15,52096.02
2021,27.42,40929.17,82.98,95325.97
2022,-32.58,27595.67,-22.6,73782.63
2023,54.86,42733.45,70.15,125543.0
2024,25.58,53663.92,53.09,192197.56
2025,20.77,64811.28,29.65,249182.07
2026,17.57,76199.19,16.44,290139.82
