Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-18.72,8127.97
2016,7.1,11755.65,-17.24,6726.74
2017,32.66,15595.46,106.3,13877.49
2018,-0.13,15575.78,-8.3,12725.03
2019,38.96,21644.34,53.05,19475.07
2020,48.41,32121.53,41.71,27598.91
2021,27.42,40929.17,82.98,50500.83
2022,-32.58,27595.67,-22.6,39087.82
2023,54.86,42733.44,79.67,70230.76
2024,25.58,53663.91,58.27,111152.64
2025,20.77,64811.27,35.08,150140.09
2026,16.82,75710.8,11.59,167538.91
