Year,IWM Ret %,IWM Value,Strategy Ret %,Strategy Value
2015,-3.92,9607.53,-7.85,9215.01
2016,21.59,11681.92,23.29,11360.92
2017,14.58,13385.44,23.21,13997.37
2018,-11.12,11896.81,-10.89,12473.02
2019,25.39,14917.38,13.39,14143.24
2020,20.03,17905.45,11.04,15704.1
2021,14.54,20508.2,21.45,19073.04
2022,-20.48,16307.13,-14.87,16236.92
2023,16.83,19051.24,-5.56,15333.73
2024,11.38,21220.08,11.34,17072.38
2025,12.66,23906.03,-2.51,16643.71
2026,19.22,28500.69,30.62,21740.23
