Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-15.34,8465.92
2016,12.0,11344.09,21.35,10273.09
2017,21.71,13806.38,44.35,14829.54
2018,-4.57,13175.57,-3.1,14369.39
2019,31.22,17289.48,30.17,18704.65
2020,18.33,20458.93,14.81,21474.01
2021,28.73,26336.52,57.62,33847.75
2022,-18.18,21549.77,-17.81,27818.34
2023,26.18,27190.59,6.47,29616.82
2024,24.89,33957.36,41.79,41994.5
2025,17.72,39974.29,15.27,48406.25
2026,9.07,43600.28,-12.57,42322.44
