Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-22.23,7777.38
2016,12.0,11344.1,10.3,8578.3
2017,21.71,13806.38,71.37,14701.02
2018,-4.57,13175.57,-8.02,13521.29
2019,31.22,17289.49,44.91,19593.1
2020,18.33,20458.93,21.28,23761.79
2021,28.73,26336.53,98.64,47200.24
2022,-18.18,21549.77,-41.46,27632.41
2023,26.18,27190.59,41.38,39066.4
2024,24.89,33957.37,63.57,63899.76
2025,17.72,39974.3,14.59,73225.83
2026,9.83,43905.32,-13.31,63476.61
