Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-16.41,8358.92
2016,7.1,11755.66,-17.96,6857.27
2017,32.66,15595.46,93.51,13269.55
2018,-0.13,15575.78,17.7,15618.62
2019,38.96,21644.36,25.85,19656.62
2020,48.41,32121.54,102.15,39735.17
2021,27.42,40929.18,78.88,71079.61
2022,-32.58,27595.67,-23.12,54643.28
2023,54.86,42733.45,77.91,97214.95
2024,25.58,53663.92,56.96,152585.38
2025,20.77,64811.29,31.2,200196.61
2026,17.57,76199.19,19.62,239472.27
