Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-18.72,8127.97
2016,7.1,11755.65,-17.24,6726.75
2017,32.66,15595.47,106.3,13877.49
2018,-0.13,15575.79,20.61,16737.62
2019,38.96,21644.35,24.22,20791.56
2020,48.41,32121.54,103.67,42345.63
2021,27.42,40929.19,82.98,77484.6
2022,-32.58,27595.68,-22.6,59973.35
2023,54.86,42733.45,80.43,108208.85
2024,25.58,53663.92,58.27,171259.68
2025,20.77,64811.29,33.77,229101.89
2026,17.57,76199.2,16.96,267955.35
