Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-23.59,7641.41
2016,12.0,11344.1,14.13,8721.22
2017,21.71,13806.38,71.37,14945.93
2018,-4.57,13175.57,-15.3,12659.52
2019,31.22,17289.49,47.44,18665.2
2020,18.33,20458.93,-11.76,16470.2
2021,28.73,26336.53,98.64,32716.28
2022,-18.18,21549.77,-45.56,17811.89
2023,26.18,27190.6,2.82,18313.97
2024,24.89,33957.37,63.57,29955.63
2025,17.72,39974.3,13.64,34042.73
2026,9.07,43600.3,-22.08,26527.61
