Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-23.59,7641.42
2016,12.0,11344.1,10.33,8430.94
2017,21.71,13806.38,71.37,14448.48
2018,-4.57,13175.57,-8.02,13289.02
2019,31.22,17289.49,47.13,19552.37
2020,18.33,20458.94,18.52,23172.96
2021,28.73,26336.54,98.64,46030.6
2022,-18.18,21549.77,-43.96,25796.06
2023,26.18,27190.6,41.38,36470.2
2024,24.89,33957.37,63.57,59653.22
2025,17.72,39974.3,14.59,68359.52
2026,9.07,43600.3,-14.35,58551.93
