Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2015,1.29,10128.85,-10.31,8968.51
2016,12.0,11344.1,-1.6,8825.24
2017,21.71,13806.38,65.2,14579.41
2018,-4.57,13175.57,-7.71,13455.57
2019,31.22,17289.49,42.14,19126.41
2020,18.33,20458.94,14.1,21822.75
2021,28.73,26336.53,92.3,41965.61
2022,-18.18,21549.78,-37.73,26131.94
2023,26.18,27190.6,-1.11,25840.84
2024,24.89,33957.38,61.89,41834.61
2025,17.72,39974.31,20.93,50592.14
2026,11.24,44466.14,-10.22,45419.76
