Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-3.69,9630.59
2016,7.1,11755.66,-3.84,9261.01
2017,32.66,15595.47,118.06,20194.72
2018,-0.13,15575.78,20.61,24356.82
2019,38.96,21644.35,24.4,30300.95
2020,48.41,32121.54,104.56,61984.72
2021,27.42,40929.18,82.98,113420.47
2022,-32.58,27595.68,-22.6,87787.84
2023,54.86,42733.45,80.15,158152.72
2024,25.58,53663.92,58.27,250304.7
2025,20.77,64811.29,33.25,333526.78
2026,16.88,75753.41,14.56,382075.33
