Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-18.7,8129.56
2016,7.1,11755.65,-17.08,6741.42
2017,32.66,15595.47,114.63,14468.95
2018,-0.13,15575.78,21.22,17539.12
2019,38.96,21644.35,26.0,22099.03
2020,48.41,32121.53,108.17,46003.42
2021,27.42,40929.18,82.98,84177.65
2022,-32.58,27595.67,-21.05,66458.62
2023,54.86,42733.44,80.26,119800.02
2024,25.58,53663.92,58.27,189604.77
2025,20.77,64811.28,32.16,250579.08
2026,17.57,76199.18,16.7,292420.11
