Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.55,-1.23,9876.59
2016,7.1,11755.65,-9.29,8958.99
2017,32.66,15595.47,69.15,15154.37
2018,-0.13,15575.78,5.58,16000.39
2019,38.96,21644.35,6.7,17072.88
2020,48.41,32121.53,72.16,29393.05
2021,27.42,40929.18,66.28,48875.87
2022,-32.58,27595.68,-25.64,36346.11
2023,54.86,42733.46,40.52,51073.38
2024,25.58,53663.93,49.83,76522.34
2025,20.77,64811.29,16.11,88850.37
2026,19.9,77705.55,0.14,88973.05
