Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2015,9.77,10976.54,-24.25,7574.66
2016,7.1,11755.65,-0.52,7535.58
2017,32.66,15595.45,8.8,8198.84
2018,-0.13,15575.78,-2.24,8015.29
2019,38.96,21644.34,10.88,8886.98
2020,48.41,32121.53,33.37,11852.44
2021,27.42,40929.16,32.29,15680.17
2022,-32.58,27595.67,-17.89,12874.64
2023,54.86,42733.43,55.48,20018.07
2024,25.58,53663.9,26.83,25389.27
2025,20.77,64811.26,24.26,31547.82
2026,17.57,76199.16,18.9,37510.5
