Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,74.78,17478.47
2004,10.7,13746.94,24.68,21792.24
2005,4.83,14410.68,7.08,23335.13
2006,15.85,16694.08,44.99,33832.71
2007,5.15,17553.21,-26.34,24922.13
2008,-36.8,11094.5,-5.54,23540.29
2009,26.35,14018.1,63.53,38496.22
2010,15.06,16128.68,17.28,45147.11
2011,1.9,16434.33,-14.62,38548.33
2012,15.99,19062.23,22.85,47355.3
2013,32.31,25220.81,118.49,103468.34
2014,13.46,28616.48,38.01,142795.12
2015,1.23,28969.69,-19.41,115076.49
2016,12.0,32445.44,2.4,117839.6
2017,21.71,39487.87,71.37,201946.9
2018,-4.57,37683.66,-14.25,173178.56
2019,31.22,49449.97,48.51,257183.8
2020,18.33,58514.93,22.18,314232.03
2021,28.73,75325.56,98.64,624188.26
2022,-18.18,61634.86,-31.78,425851.93
2023,26.18,77768.28,18.37,504097.47
2024,24.89,97122.04,63.57,824537.23
2025,17.72,114331.17,22.87,1013073.3
2026,6.67,121958.24,-13.4,877330.5
