Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.42,47.57,14757.16
2004,10.7,13746.93,18.45,17479.61
2005,4.83,14410.68,6.62,18636.61
2006,15.85,16694.09,27.13,23692.2
2007,5.15,17553.2,-19.79,19003.7
2008,-36.79,11094.5,0.0,19003.7
2009,26.35,14018.1,44.68,27494.09
2010,15.06,16128.69,8.44,29814.12
2011,1.89,16434.32,-8.9,27160.77
2012,15.99,19062.23,13.41,30804.03
2013,32.31,25220.8,70.47,52511.02
2014,13.46,28616.48,25.53,65918.74
2015,1.23,28969.69,-7.57,60927.58
2016,12.0,32445.45,20.46,73394.82
2017,21.71,39487.85,44.35,105947.79
2018,-4.57,37683.66,-3.1,102660.3
2019,31.22,49449.95,30.09,133549.12
2020,18.33,58514.93,16.78,155956.33
2021,28.73,75325.55,60.57,250418.89
2022,-18.18,61634.86,-22.42,194268.03
2023,26.18,77768.26,10.74,215136.95
2024,24.89,97122.05,43.48,308688.34
2025,17.72,114331.15,16.44,359439.78
2026,10.96,126862.24,-7.42,332769.87
