Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.41,74.6,17459.88
2004,10.7,13746.94,24.68,21769.12
2005,4.83,14410.67,7.08,23310.34
2006,15.85,16694.08,44.99,33796.75
2007,5.15,17553.19,-25.86,25056.08
2008,-36.79,11094.5,1.35,25393.98
2009,26.35,14018.1,66.26,42220.42
2010,15.06,16128.68,16.11,49020.25
2011,1.9,16434.32,-14.61,41856.9
2012,15.99,19062.22,23.98,51895.58
2013,32.31,25220.79,118.49,113388.57
2014,13.46,28616.47,38.01,156485.82
2015,1.23,28969.68,-12.53,136872.84
2016,12.0,32445.44,32.27,181040.49
2017,21.71,39487.84,71.37,310257.09
2018,-4.57,37683.64,-7.64,286544.49
2019,31.22,49449.92,48.1,424384.09
2020,18.33,58514.91,17.9,500341.29
2021,28.73,75325.52,98.64,993874.25
2022,-18.18,61634.83,-36.67,629374.27
2023,26.18,77768.24,24.3,782307.88
2024,24.89,97122.0,63.57,1279598.03
2025,17.72,114331.11,24.78,1596688.1
2026,9.07,124701.87,-12.82,1392032.17
