Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.44,75.34,17534.02
2004,10.7,13746.95,24.68,21861.5
2005,4.83,14410.69,7.08,23409.27
2006,15.85,16694.1,44.99,33940.24
2007,5.15,17553.22,-27.3,24673.18
2008,-36.8,11094.51,0.0,24673.18
2009,26.35,14018.11,67.21,41254.9
2010,15.06,16128.69,14.4,47195.45
2011,1.89,16434.33,-14.62,40297.28
2012,15.99,19062.24,22.08,49195.63
2013,32.31,25220.82,118.49,107489.32
2014,13.46,28616.5,38.01,148344.4
2015,1.23,28969.71,-12.56,129712.65
2016,12.0,32445.47,32.31,171618.75
2017,21.71,39487.88,71.37,294110.58
2018,-4.57,37683.68,-8.02,270508.81
2019,31.22,49449.98,47.19,398171.12
2020,18.33,58514.96,18.26,470857.28
2021,28.73,75325.59,98.64,935307.42
2022,-18.18,61634.89,-34.83,609494.17
2023,26.18,77768.31,18.18,720289.77
2024,24.89,97122.1,63.57,1178156.54
2025,17.72,114331.22,22.61,1444530.96
2026,8.48,124031.21,-16.6,1204748.04
