Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,43.2,14320.2
2004,10.7,13746.95,16.42,16671.79
2005,4.83,14410.68,6.17,17701.06
2006,15.85,16694.09,24.36,22012.56
2007,5.15,17553.2,-10.35,19734.54
2008,-36.8,11094.5,-9.87,17786.75
2009,26.35,14018.1,39.7,24847.66
2010,15.06,16128.69,9.07,27100.51
2011,1.89,16434.32,-6.96,25213.72
2012,15.99,19062.23,10.11,27763.02
2013,32.31,25220.82,62.57,45133.35
2014,13.46,28616.49,23.5,55739.32
2015,1.23,28969.7,-6.21,52278.87
2016,12.0,32445.46,20.14,62807.07
2017,21.71,39487.87,40.82,88447.99
2018,-4.57,37683.66,-3.3,85528.89
2019,31.22,49449.97,31.59,112544.23
2020,18.33,58514.95,19.44,134427.09
2021,28.73,75325.57,56.39,210230.48
2022,-18.18,61634.87,-17.83,172754.74
2023,26.18,77768.29,7.3,185370.34
2024,24.89,97122.05,41.13,261616.01
2025,17.72,114331.18,15.46,302051.78
2026,9.07,124701.95,-11.77,266498.16
