Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,73.24,17324.27
2004,10.7,13746.94,24.68,21599.97
2005,4.83,14410.68,7.08,23129.26
2006,15.85,16694.09,44.99,33534.25
2007,5.15,17553.21,-28.18,24083.74
2008,-36.8,11094.5,0.0,24083.74
2009,26.35,14018.1,69.01,40704.9
2010,15.06,16128.68,10.4,44937.07
2011,1.9,16434.32,-14.62,38369.02
2012,15.99,19062.23,18.51,45470.27
2013,32.31,25220.81,118.49,99349.62
2014,13.46,28616.48,38.01,137110.96
2015,1.23,28969.69,-12.56,119890.11
2016,12.0,32445.45,30.6,156579.29
2017,21.71,39487.87,71.37,268336.89
2018,-4.57,37683.67,-8.02,246803.32
2019,31.22,49449.96,44.91,357631.78
2020,18.33,58514.95,21.28,433722.64
2021,28.73,75325.56,98.64,861543.35
2022,-18.18,61634.87,-31.78,587787.23
2023,26.18,77768.28,11.9,657726.02
2024,24.89,97122.06,63.57,1075822.95
2025,17.72,114331.17,21.58,1308008.31
2026,10.91,126801.74,-12.32,1146832.68
