Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.42,79.39,17939.35
2004,10.7,13746.93,24.68,22366.89
2005,4.83,14410.67,7.08,23950.44
2006,15.85,16694.08,44.99,34724.87
2007,5.15,17553.19,-0.96,34392.56
2008,-36.8,11094.49,-24.96,25808.36
2009,26.35,14018.09,65.07,42600.74
2010,15.06,16128.67,9.46,46632.75
2011,1.9,16434.32,-14.62,39816.81
2012,15.99,19062.22,19.68,47651.37
2013,32.31,25220.79,118.49,104115.22
2014,13.46,28616.47,38.01,143687.85
2015,1.23,28969.68,-22.63,111169.79
2016,12.0,32445.43,32.69,147513.34
2017,21.71,39487.83,71.37,252800.13
2018,-4.57,37683.64,-8.02,232513.42
2019,31.22,49449.93,47.44,342817.8
2020,18.33,58514.9,26.89,435014.02
2021,28.73,75325.51,98.64,864108.73
2022,-18.18,61634.82,-31.45,592347.22
2023,26.18,77768.22,48.82,881530.17
2024,24.89,97121.99,63.57,1441892.85
2025,17.72,114331.1,13.64,1638622.92
2026,9.07,124701.87,20.7,1977824.44
