Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,61.71,16170.68
2004,10.7,13746.95,24.68,20161.68
2005,4.83,14410.69,7.08,21589.12
2006,15.85,16694.09,44.99,31301.24
2007,5.15,17553.21,-0.96,31001.75
2008,-36.8,11094.51,-14.69,26448.87
2009,26.35,14018.1,49.98,39666.79
2010,15.06,16128.69,-2.67,38607.57
2011,1.89,16434.32,-14.62,32964.62
2012,15.99,19062.24,27.8,42129.32
2013,32.31,25220.81,118.49,92049.91
2014,13.46,28616.5,38.01,127036.71
2015,1.23,28969.7,-22.63,98287.0
2016,12.0,32445.46,17.95,115927.94
2017,21.71,39487.88,71.37,198670.82
2018,-4.57,37683.68,-9.78,179232.78
2019,31.22,49449.97,33.19,238713.75
2020,18.33,58514.96,20.65,288006.2
2021,28.73,75325.59,98.64,572093.51
2022,-18.18,61634.87,-31.45,392170.51
2023,26.18,77768.3,3.72,406740.64
2024,24.89,97122.07,63.57,665293.64
2025,17.72,114331.2,3.71,689956.63
2026,9.07,124701.98,-12.47,603928.45
