Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,75.86,17585.81
2004,10.7,13746.95,24.68,21926.11
2005,4.83,14410.68,7.08,23478.42
2006,15.85,16694.09,44.99,34040.5
2007,5.15,17553.21,-27.76,24591.87
2008,-36.79,11094.51,0.0,24591.87
2009,26.35,14018.1,67.77,41257.38
2010,15.06,16128.69,13.58,46858.94
2011,1.89,16434.33,-14.62,40009.97
2012,15.99,19062.24,21.14,48466.38
2013,32.31,25220.82,118.49,105895.96
2014,13.46,28616.5,38.01,146145.4
2015,1.23,28969.7,-12.56,127789.92
2016,12.0,32445.47,32.36,169142.77
2017,21.71,39487.88,71.37,289867.45
2018,-4.57,37683.67,-8.02,266606.09
2019,31.22,49449.98,47.13,392262.15
2020,18.33,58514.96,18.52,464899.05
2021,28.73,75325.58,98.64,923471.95
2022,-18.18,61634.87,-33.3,615909.72
2023,26.18,77768.29,15.54,711648.48
2024,24.89,97122.07,63.57,1164022.31
2025,17.72,114331.2,22.12,1421483.12
2026,9.07,124701.98,-16.44,1187807.73
