Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.42,48.45,14844.91
2004,10.7,13746.93,17.8,17486.81
2005,4.83,14410.67,6.48,18619.52
2006,15.85,16694.08,26.25,23507.04
2007,5.15,17553.19,1.36,23826.77
2008,-36.8,11094.49,-18.75,19359.24
2009,26.35,14018.09,40.97,27289.87
2010,15.06,16128.67,8.44,29593.51
2011,1.9,16434.32,-7.89,27257.79
2012,15.99,19062.22,14.41,31186.97
2013,32.31,25220.79,66.48,51918.81
2014,13.46,28616.47,24.53,64654.32
2015,1.23,28969.68,-13.97,55621.79
2016,12.0,32445.43,20.79,67186.89
2017,21.71,39487.83,42.26,95582.68
2018,-4.57,37683.64,-3.22,92506.23
2019,31.22,49449.93,31.41,121561.34
2020,18.33,58514.9,19.5,145264.04
2021,28.73,75325.51,57.74,229136.07
2022,-18.18,61634.82,-21.42,180046.67
2023,26.18,77768.22,33.59,240525.34
2024,24.89,97121.99,41.8,341068.77
2025,17.72,114331.1,11.76,381193.29
2026,9.07,124701.87,14.53,436593.12
