Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,73.24,17324.26
2004,10.7,13746.95,24.68,21600.02
2005,4.83,14410.68,7.08,23129.24
2006,15.85,16694.09,44.99,33534.24
2007,5.15,17553.21,-26.91,24510.48
2008,-36.79,11094.51,0.0,24510.48
2009,26.35,14018.1,63.53,40082.8
2010,15.06,16128.69,17.06,46921.0
2011,1.89,16434.33,-14.62,40062.94
2012,15.99,19062.23,24.46,49861.42
2013,32.31,25220.81,118.49,108944.08
2014,13.46,28616.49,38.01,150352.06
2015,1.23,28969.7,-15.6,126903.61
2016,12.0,32445.46,20.19,152526.91
2017,21.71,39487.88,71.37,261392.15
2018,-4.57,37683.67,-8.02,240415.95
2019,31.22,49449.98,46.21,351517.87
2020,18.33,58514.95,22.18,429491.09
2021,28.73,75325.58,98.64,853138.02
2022,-18.18,61634.87,-31.78,582052.68
2023,26.18,77768.3,13.56,660998.35
2024,24.89,97122.07,63.57,1081175.47
2025,17.72,114331.19,22.45,1323903.79
2026,6.67,121958.27,-17.42,1093235.43
