Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,48.06,14805.79
2004,10.7,13746.95,18.45,17537.22
2005,4.83,14410.68,6.62,18698.01
2006,15.85,16694.1,27.13,23770.26
2007,5.15,17553.21,-18.46,19381.73
2008,-36.79,11094.51,0.0,19381.73
2009,26.35,14018.1,43.34,27781.88
2010,15.06,16128.69,12.28,31192.35
2011,1.89,16434.33,-8.9,28416.35
2012,15.99,19062.23,16.92,33223.92
2013,32.31,25220.81,70.47,56636.17
2014,13.46,28616.49,25.53,71097.17
2015,1.23,28969.7,-7.57,65713.91
2016,12.0,32445.46,21.43,79797.38
2017,21.71,39487.88,44.35,115190.09
2018,-4.57,37683.67,-3.1,111615.81
2019,31.22,49449.98,31.57,146851.45
2020,18.33,58514.95,14.73,168478.39
2021,28.73,75325.58,60.57,270525.56
2022,-18.18,61634.88,-27.06,197316.26
2023,26.18,77768.3,18.52,233866.26
2024,24.89,97122.07,43.48,335562.08
2025,17.72,114331.19,17.78,395225.63
2026,9.07,124701.97,-7.85,364208.94
