Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,73.99,17398.88
2004,10.7,13746.94,24.68,21693.01
2005,4.83,14410.68,7.08,23228.82
2006,15.85,16694.09,44.99,33678.67
2007,5.15,17553.2,-26.4,24788.03
2008,-36.79,11094.5,0.0,24788.03
2009,26.35,14018.1,66.14,41181.76
2010,15.06,16128.68,16.04,47789.22
2011,1.89,16434.32,-14.62,40804.28
2012,15.99,19062.23,23.98,50589.2
2013,32.31,25220.8,118.49,110534.23
2014,13.46,28616.48,38.01,152546.58
2015,1.23,28969.69,-12.56,133387.13
2016,12.0,32445.44,32.18,176309.15
2017,21.71,39487.86,71.37,302148.86
2018,-4.57,37683.67,-8.02,277901.89
2019,31.22,49449.96,47.32,409395.95
2020,18.33,58514.94,17.84,482437.73
2021,28.73,75325.55,98.64,958310.64
2022,-18.18,61634.87,-37.89,595161.82
2023,26.18,77768.27,23.53,735195.36
2024,24.89,97122.04,63.57,1202537.16
2025,17.72,114331.16,23.59,1486238.17
2026,8.48,124031.14,-14.38,1272532.48
