Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.42,71.07,17107.0
2004,10.7,13746.94,-6.49,15997.51
2005,4.83,14410.68,7.08,17130.13
2006,15.85,16694.09,44.99,24836.33
2007,5.15,17553.21,-8.42,22744.92
2008,-36.8,11094.5,0.0,22744.92
2009,26.35,14018.1,63.94,37287.19
2010,15.06,16128.68,13.89,42467.12
2011,1.9,16434.33,-14.62,36260.05
2012,15.99,19062.23,33.56,48428.19
2013,32.31,25220.81,118.49,105812.52
2014,13.46,28616.47,38.01,146030.27
2015,1.23,28969.69,-14.84,124364.19
2016,12.0,32445.45,25.01,155468.89
2017,21.71,39487.86,71.37,266433.99
2018,-4.57,37683.66,-8.02,245053.11
2019,31.22,49449.97,46.46,358909.57
2020,18.33,58514.94,-7.99,330226.46
2021,28.73,75325.55,98.64,655959.47
2022,-18.18,61634.87,-35.68,421900.7
2023,26.18,77768.26,41.49,596941.15
2024,24.89,97122.04,63.57,976398.83
2025,17.72,114331.16,15.63,1129017.39
2026,9.94,125699.09,-11.04,1004371.92
