Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,67.69,16769.36
2004,10.7,13746.95,24.68,20908.13
2005,4.83,14410.68,7.08,22388.38
2006,15.85,16694.08,44.99,32460.08
2007,5.15,17553.21,-0.96,32149.51
2008,-36.79,11094.51,-24.96,24125.17
2009,26.35,14018.1,66.96,40280.05
2010,15.06,16128.69,15.07,46351.24
2011,1.89,16434.32,-14.62,39576.47
2012,15.99,19062.23,31.66,52106.4
2013,32.31,25220.81,118.49,113849.2
2014,13.46,28616.48,38.01,157121.59
2015,1.23,28969.7,-23.97,119452.98
2016,12.0,32445.45,23.46,147478.52
2017,21.71,39487.87,71.37,252740.4
2018,-4.57,37683.66,-8.02,232458.54
2019,31.22,49449.96,44.41,335703.97
2020,18.33,58514.94,25.43,421079.54
2021,28.73,75325.57,98.64,836429.38
2022,-18.18,61634.86,-36.45,531521.64
2023,26.18,77768.28,41.38,751459.58
2024,24.89,97122.05,63.57,1229140.15
2025,17.72,114331.17,14.59,1408531.48
2026,9.07,124701.95,20.7,1700103.15
