Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,47.16,14716.04
2004,10.7,13746.94,19.51,17586.64
2005,4.83,14410.68,7.57,18918.3
2006,15.85,16694.08,27.65,24149.91
2007,5.15,17553.2,1.07,24408.06
2008,-36.8,11094.5,-10.21,21917.15
2009,26.35,14018.1,45.97,31993.54
2010,15.06,16128.69,0.02,31999.37
2011,1.89,16434.32,-8.9,29151.55
2012,15.99,19062.23,18.78,34627.25
2013,32.31,25220.81,70.47,59028.4
2014,13.46,28616.48,25.53,74100.21
2015,1.23,28969.69,-15.22,62824.6
2016,12.0,32445.45,19.52,75085.67
2017,21.71,39487.86,44.35,108388.6
2018,-4.57,37683.66,-7.78,99953.6
2019,31.22,49449.96,28.39,128331.86
2020,18.33,58514.93,-1.05,126983.45
2021,28.73,75325.56,60.57,203897.09
2022,-18.18,61634.86,-27.02,148812.75
2023,26.18,77768.27,29.94,193368.53
2024,24.89,97122.04,43.48,277454.01
2025,17.72,114331.16,5.72,293329.9
2026,8.69,124268.18,14.94,337158.79
