Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.42,73.24,17324.27
2004,10.7,13746.94,24.68,21600.02
2005,4.83,14410.68,7.08,23129.25
2006,15.85,16694.08,44.99,33534.23
2007,5.15,17553.2,-28.18,24083.72
2008,-36.8,11094.5,-9.33,21836.39
2009,26.35,14018.09,69.01,36906.51
2010,15.06,16128.68,10.4,40743.76
2011,1.89,16434.32,-17.9,33451.41
2012,15.99,19062.22,16.84,39085.26
2013,32.31,25220.8,118.49,85398.82
2014,13.46,28616.47,38.01,117857.63
2015,1.23,28969.69,-12.56,103054.96
2016,12.0,32445.44,13.03,116480.01
2017,21.71,39487.85,71.37,199616.97
2018,-4.57,37683.65,-8.02,183598.07
2019,31.22,49449.95,29.79,238293.53
2020,18.33,58514.92,21.28,288993.63
2021,28.73,75325.53,96.49,567849.33
2022,-18.18,61634.84,-31.79,387307.24
2023,26.18,77768.25,-1.12,382958.93
2024,24.89,97122.02,63.57,626394.61
2025,17.72,114331.13,21.58,761583.85
2026,6.67,121958.2,-28.47,544741.67
