Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,38.99,13898.99
2004,10.7,13746.95,17.77,16369.3
2005,4.83,14410.68,6.47,17428.78
2006,15.85,16694.09,26.22,21998.22
2007,5.15,17553.21,1.37,22299.75
2008,-36.79,11094.51,-12.25,19568.92
2009,26.35,14018.1,32.74,25975.48
2010,15.06,16128.69,0.87,26202.37
2011,1.9,16434.33,-8.25,24040.21
2012,15.99,19062.23,19.2,28655.34
2013,32.31,25220.81,67.99,48138.96
2014,13.46,28616.5,24.92,60133.57
2015,1.23,28969.7,-14.45,51442.22
2016,12.0,32445.45,12.44,57840.46
2017,21.71,39487.88,43.11,82778.1
2018,-4.57,37683.68,-4.32,79204.44
2019,31.22,49449.98,23.36,97706.53
2020,18.33,58514.96,16.26,113595.15
2021,28.73,75325.59,58.97,180582.98
2022,-18.18,61634.89,-21.54,141693.54
2023,26.18,77768.29,5.63,149664.46
2024,24.89,97122.07,42.54,213335.19
2025,17.72,114331.2,5.18,224378.31
2026,9.07,124701.98,-6.54,209698.34
