entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.4,0.2,0.0,1.0,6.68,-37.83,True
1.01,0.005,0.95,0.4,0.2,0.25,0.75,7.06,-35.1,True
1.01,0.005,0.95,0.4,0.2,0.5,0.5,7.4,-32.34,True
1.01,0.005,0.95,0.4,0.2,0.75,0.25,7.68,-29.54,True
1.01,0.005,0.95,0.4,0.2,1.0,0.0,7.91,-26.72,True
1.01,0.005,0.95,0.4,0.3,0.0,1.0,6.94,-37.22,True
1.01,0.005,0.95,0.4,0.3,0.25,0.75,7.27,-34.89,True
1.01,0.005,0.95,0.4,0.3,0.5,0.5,7.56,-32.53,True
1.01,0.005,0.95,0.4,0.3,0.75,0.25,7.8,-30.12,True
1.01,0.005,0.95,0.4,0.3,1.0,0.0,8.0,-27.68,True
1.01,0.005,0.97,0.1,0.0,0.0,1.0,3.97,-27.73,True
1.01,0.005,0.97,0.1,0.0,0.25,0.75,4.26,-24.89,True
1.01,0.005,0.97,0.1,0.0,0.5,0.5,4.51,-22.01,True
1.01,0.005,0.97,0.1,0.0,0.75,0.25,4.73,-19.08,True
1.01,0.005,0.97,0.1,0.0,1.0,0.0,4.9,-16.09,True
1.01,0.005,0.97,0.1,0.1,0.0,1.0,4.96,-23.2,True
1.01,0.005,0.97,0.1,0.1,0.25,0.75,5.19,-20.73,True
1.01,0.005,0.97,0.1,0.1,0.5,0.5,5.38,-18.22,True
1.01,0.005,0.97,0.1,0.1,0.75,0.25,5.54,-15.83,True
1.01,0.005,0.97,0.1,0.1,1.0,0.0,5.67,-14.46,True
1.01,0.005,0.97,0.1,0.2,0.0,1.0,5.56,-22.58,True
1.01,0.005,0.97,0.1,0.2,0.25,0.75,5.78,-21.26,True
1.01,0.005,0.97,0.1,0.2,0.5,0.5,5.96,-19.95,True
1.01,0.005,0.97,0.1,0.2,0.75,0.25,6.11,-18.65,True
1.01,0.005,0.97,0.1,0.2,1.0,0.0,6.23,-17.36,True
1.01,0.005,0.97,0.1,0.3,0.0,1.0,5.97,-26.9,True
1.01,0.005,0.97,0.1,0.3,0.25,0.75,6.19,-25.52,True
1.01,0.005,0.97,0.1,0.3,0.5,0.5,6.38,-24.15,True
1.01,0.005,0.97,0.1,0.3,0.75,0.25,6.53,-22.8,True
1.01,0.005,0.97,0.1,0.3,1.0,0.0,6.65,-21.45,True
1.01,0.005,0.97,0.2,0.0,0.0,1.0,5.0,-29.5,True
1.01,0.005,0.97,0.2,0.0,0.25,0.75,5.29,-27.45,True
1.01,0.005,0.97,0.2,0.0,0.5,0.5,5.53,-25.36,True
1.01,0.005,0.97,0.2,0.0,0.75,0.25,5.72,-23.23,True
1.01,0.005,0.97,0.2,0.0,1.0,0.0,5.86,-21.06,True
1.01,0.005,0.97,0.2,0.1,0.0,1.0,5.53,-27.22,True
1.01,0.005,0.97,0.2,0.1,0.25,0.75,5.8,-25.23,True
1.01,0.005,0.97,0.2,0.1,0.5,0.5,6.02,-23.23,True
1.01,0.005,0.97,0.2,0.1,0.75,0.25,6.19,-21.23,True
1.01,0.005,0.97,0.2,0.1,1.0,0.0,6.32,-19.22,True
1.01,0.005,0.97,0.2,0.2,0.0,1.0,6.03,-29.78,True
1.01,0.005,0.97,0.2,0.2,0.25,0.75,6.27,-28.05,True
1.01,0.005,0.97,0.2,0.2,0.5,0.5,6.47,-26.28,True
1.01,0.005,0.97,0.2,0.2,0.75,0.25,6.62,-24.47,True
1.01,0.005,0.97,0.2,0.2,1.0,0.0,6.73,-22.63,True
1.01,0.005,0.97,0.2,0.3,0.0,1.0,6.44,-31.7,True
1.01,0.005,0.97,0.2,0.3,0.25,0.75,6.66,-30.11,True
1.01,0.005,0.97,0.2,0.3,0.5,0.5,6.84,-28.49,True
1.01,0.005,0.97,0.2,0.3,0.75,0.25,6.98,-26.83,True
1.01,0.005,0.97,0.2,0.3,1.0,0.0,7.09,-25.1,True
1.01,0.005,0.97,0.3,0.0,0.0,1.0,5.58,-31.29,True
1.01,0.005,0.97,0.3,0.0,0.25,0.75,5.87,-29.11,True
1.01,0.005,0.97,0.3,0.0,0.5,0.5,6.1,-26.89,True
1.01,0.005,0.97,0.3,0.0,0.75,0.25,6.28,-24.62,True
1.01,0.005,0.97,0.3,0.0,1.0,0.0,6.4,-22.31,True
1.01,0.005,0.97,0.3,0.1,0.0,1.0,5.99,-30.22,True
1.01,0.005,0.97,0.3,0.1,0.25,0.75,6.25,-28.09,True
1.01,0.005,0.97,0.3,0.1,0.5,0.5,6.46,-25.94,True
1.01,0.005,0.97,0.3,0.1,0.75,0.25,6.63,-23.75,True
1.01,0.005,0.97,0.3,0.1,1.0,0.0,6.74,-21.49,True
1.01,0.005,0.97,0.3,0.2,0.0,1.0,6.25,-32.72,True
1.01,0.005,0.97,0.3,0.2,0.25,0.75,6.5,-30.74,True
1.01,0.005,0.97,0.3,0.2,0.5,0.5,6.7,-28.72,True
1.01,0.005,0.97,0.3,0.2,0.75,0.25,6.86,-26.66,True
1.01,0.005,0.97,0.3,0.2,1.0,0.0,6.97,-24.52,True
1.01,0.005,0.97,0.3,0.3,0.0,1.0,6.43,-34.63,True
1.01,0.005,0.97,0.3,0.3,0.25,0.75,6.68,-32.85,True
1.01,0.005,0.97,0.3,0.3,0.5,0.5,6.89,-31.02,True
1.01,0.005,0.97,0.3,0.3,0.75,0.25,7.06,-29.15,True
1.01,0.005,0.97,0.3,0.3,1.0,0.0,7.18,-27.2,True
1.01,0.005,0.97,0.4,0.0,0.0,1.0,5.78,-31.82,True
1.01,0.005,0.97,0.4,0.0,0.25,0.75,6.06,-29.61,True
1.01,0.005,0.97,0.4,0.0,0.5,0.5,6.29,-27.35,True
1.01,0.005,0.97,0.4,0.0,0.75,0.25,6.47,-25.04,True
1.01,0.005,0.97,0.4,0.0,1.0,0.0,6.59,-22.68,True
1.01,0.005,0.97,0.4,0.1,0.0,1.0,6.0,-33.26,True
1.01,0.005,0.97,0.4,0.1,0.25,0.75,6.27,-30.93,True
1.01,0.005,0.97,0.4,0.1,0.5,0.5,6.5,-28.56,True
1.01,0.005,0.97,0.4,0.1,0.75,0.25,6.68,-26.14,True
1.01,0.005,0.97,0.4,0.1,1.0,0.0,6.8,-23.67,True
1.01,0.005,0.97,0.4,0.2,0.0,1.0,6.07,-35.36,True
1.01,0.005,0.97,0.4,0.2,0.25,0.75,6.36,-33.21,True
1.01,0.005,0.97,0.4,0.2,0.5,0.5,6.61,-31.01,True
1.01,0.005,0.97,0.4,0.2,0.75,0.25,6.8,-28.76,True
1.01,0.005,0.97,0.4,0.2,1.0,0.0,6.95,-26.46,True
1.01,0.005,0.97,0.4,0.3,0.0,1.0,5.95,-37.18,True
1.01,0.005,0.97,0.4,0.3,0.25,0.75,6.27,-35.19,True
1.01,0.005,0.97,0.4,0.3,0.5,0.5,6.54,-33.15,True
1.01,0.005,0.97,0.4,0.3,0.75,0.25,6.76,-31.07,True
1.01,0.005,0.97,0.4,0.3,1.0,0.0,6.94,-28.92,True
1.01,0.005,0.99,0.1,0.0,0.0,1.0,1.42,-39.91,True
1.01,0.005,0.99,0.1,0.0,0.25,0.75,1.84,-36.81,True
1.01,0.005,0.99,0.1,0.0,0.5,0.5,2.22,-33.6,True
1.01,0.005,0.99,0.1,0.0,0.75,0.25,2.55,-30.28,True
1.01,0.005,0.99,0.1,0.0,1.0,0.0,2.85,-26.84,True
