entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,max_dd_real,passed,calmar
1.01,-0.01,0.93,0.3,0.1,0.25,0.75,17.4897,-41.8742,-48.1682,-48.1682,False,0.3631
1.01,-0.01,0.93,0.3,0.1,0.5,0.5,16.4736,-38.9583,-44.8744,-44.8744,True,0.3671
1.01,-0.01,0.93,0.3,0.1,0.75,0.25,15.3873,-35.5229,-41.2357,-41.2357,True,0.3732
1.01,-0.01,0.93,0.3,0.1,1.0,0.0,14.2235,-31.3957,-37.1936,-37.1936,True,0.3824
1.01,-0.01,0.93,0.3,0.2,0.0,1.0,17.8661,-43.4584,-48.2667,-48.2667,False,0.3702
1.01,-0.01,0.93,0.3,0.2,0.25,0.75,16.9812,-40.9717,-45.3807,-45.3807,False,0.3742
1.01,-0.01,0.93,0.3,0.2,0.5,0.5,16.0425,-38.1183,-42.2322,-42.2322,True,0.3799
1.01,-0.01,0.93,0.3,0.2,0.75,0.25,15.0448,-34.7969,-38.7825,-38.7825,True,0.3879
1.01,-0.01,0.93,0.3,0.2,1.0,0.0,13.983,-30.8653,-34.9999,-34.9999,True,0.3995
1.01,-0.01,0.93,0.3,0.3,0.0,1.0,17.2503,-42.3964,-46.6413,-45.609,False,0.3782
1.01,-0.01,0.93,0.3,0.3,0.25,0.75,16.4403,-39.9554,-44.3108,-43.1665,True,0.3809
1.01,-0.01,0.93,0.3,0.3,0.5,0.5,15.5859,-37.185,-41.6389,-40.5698,True,0.3842
1.01,-0.01,0.93,0.3,0.3,0.75,0.25,14.6829,-34.0023,-38.5987,-37.8041,True,0.3884
1.01,-0.01,0.93,0.3,0.3,1.0,0.0,13.7281,-30.2943,-35.1341,-34.7862,True,0.3946
1.01,-0.01,0.93,0.4,0.0,0.0,1.0,18.9779,-41.8416,-53.792,-53.792,False,0.3528
1.01,-0.01,0.93,0.4,0.0,0.25,0.75,17.9692,-44.7045,-50.7125,-50.7125,False,0.3543
1.01,-0.01,0.93,0.4,0.0,0.5,0.5,16.8854,-41.6386,-47.3038,-47.3038,False,0.357
1.01,-0.01,0.93,0.4,0.0,0.75,0.25,15.7184,-38.0042,-43.5081,-43.5081,True,0.3613
1.01,-0.01,0.93,0.4,0.0,1.0,0.0,14.4575,-33.5968,-39.2538,-39.2538,True,0.3683
1.01,-0.01,0.93,0.4,0.1,0.0,1.0,18.4381,-46.5696,-51.1052,-51.1052,False,0.3608
1.01,-0.01,0.93,0.4,0.1,0.25,0.75,17.4905,-43.9463,-48.1101,-48.1101,False,0.3636
1.01,-0.01,0.93,0.4,0.1,0.5,0.5,16.478,-40.9211,-44.8175,-44.8175,False,0.3677
1.01,-0.01,0.93,0.4,0.1,0.75,0.25,15.3938,-37.3734,-41.1793,-41.1793,True,0.3738
1.01,-0.01,0.93,0.4,0.1,1.0,0.0,14.2302,-33.129,-37.1364,-37.1364,True,0.3832
1.01,-0.01,0.93,0.4,0.2,0.0,1.0,17.8739,-45.6932,-48.4705,-48.4705,False,0.3688
1.01,-0.01,0.93,0.4,0.2,0.25,0.75,16.9917,-43.0936,-45.4612,-45.4612,False,0.3738
1.01,-0.01,0.93,0.4,0.2,0.5,0.5,16.0545,-40.1244,-42.2145,-42.2145,False,0.3803
1.01,-0.01,0.93,0.4,0.2,0.75,0.25,15.0568,-36.6829,-38.722,-38.722,True,0.3888
1.01,-0.01,0.93,0.4,0.2,1.0,0.0,13.9929,-32.625,-35.0159,-35.0159,True,0.3996
1.01,-0.01,0.93,0.4,0.3,0.0,1.0,17.1996,-43.5662,-46.7195,-45.6297,False,0.3769
1.01,-0.01,0.93,0.4,0.3,0.25,0.75,16.3948,-41.0641,-44.3779,-43.1857,False,0.3796
1.01,-0.01,0.93,0.4,0.3,0.5,0.5,15.5448,-38.2306,-41.6928,-40.5862,True,0.383
1.01,-0.01,0.93,0.4,0.3,0.75,0.25,14.6455,-34.9818,-38.6307,-37.8157,True,0.3873
1.01,-0.01,0.93,0.4,0.3,1.0,0.0,13.6931,-31.2035,-35.1472,-34.8051,True,0.3934
1.01,-0.01,0.93,0.5,0.0,0.0,1.0,18.9668,-43.8392,-55.1196,-55.1196,False,0.3441
1.01,-0.01,0.93,0.5,0.0,0.25,0.75,17.9642,-40.8195,-51.9349,-51.9349,False,0.3459
1.01,-0.01,0.93,0.5,0.0,0.5,0.5,16.8852,-43.5603,-48.4439,-48.4439,False,0.3486
1.01,-0.01,0.93,0.5,0.0,0.75,0.25,15.7213,-39.8204,-44.6034,-44.6034,True,0.3525
1.01,-0.01,0.93,0.5,0.0,1.0,0.0,14.4619,-35.3045,-40.3615,-40.3615,True,0.3583
