entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,max_dd_real,passed,calmar
1.01,-0.01,0.93,0.3,0.2,0.75,0.25,17.7778,-45.835,-59.3657,-42.8812,True,0.4146
1.01,-0.01,0.93,0.3,0.2,1.0,0.0,16.8749,-42.2233,-54.6971,-39.0186,True,0.4325
1.01,-0.01,0.93,0.3,0.3,0.0,1.0,19.9298,-53.4788,-67.762,-48.3458,True,0.4122
1.01,-0.01,0.93,0.3,0.3,0.25,0.75,19.3232,-50.7163,-64.6285,-45.5862,True,0.4239
1.01,-0.01,0.93,0.3,0.3,0.5,0.5,18.6394,-47.8238,-61.1622,-42.5957,True,0.4376
1.01,-0.01,0.93,0.3,0.3,0.75,0.25,17.8707,-44.7951,-57.3165,-39.3421,True,0.4542
1.01,-0.01,0.93,0.3,0.3,1.0,0.0,17.0106,-41.6232,-53.0362,-35.7807,True,0.4754
1.01,-0.01,0.93,0.4,0.0,0.0,1.0,19.9746,-59.8457,-77.7309,-58.1359,True,0.3436
1.01,-0.01,0.93,0.4,0.0,0.25,0.75,19.4231,-56.1709,-73.5493,-55.017,True,0.353
1.01,-0.01,0.93,0.4,0.0,0.5,0.5,18.7359,-52.2418,-68.6509,-51.5743,True,0.3633
1.01,-0.01,0.93,0.4,0.0,0.75,0.25,17.9012,-48.0408,-63.6072,-47.7505,True,0.3749
1.01,-0.01,0.93,0.4,0.0,1.0,0.0,16.9036,-43.5487,-58.2667,-43.473,True,0.3888
1.01,-0.01,0.93,0.4,0.1,0.0,1.0,20.2252,-57.6789,-74.2054,-54.5462,True,0.3708
1.01,-0.01,0.93,0.4,0.1,0.25,0.75,19.6263,-54.2808,-69.9562,-51.5277,True,0.3809
1.01,-0.01,0.93,0.4,0.1,0.5,0.5,18.9123,-50.673,-66.0959,-48.2162,True,0.3922
1.01,-0.01,0.93,0.4,0.1,0.75,0.25,18.0727,-46.8426,-61.6976,-44.5635,True,0.4055
1.01,-0.01,0.93,0.4,0.1,1.0,0.0,17.0947,-42.7752,-56.6624,-40.5083,True,0.422
1.01,-0.01,0.93,0.4,0.2,0.0,1.0,20.3759,-55.5335,-70.8683,-50.7174,True,0.4018
1.01,-0.01,0.93,0.4,0.2,0.25,0.75,19.7464,-52.4344,-67.575,-47.8156,True,0.413
1.01,-0.01,0.93,0.4,0.2,0.5,0.5,19.0205,-49.1668,-63.8829,-44.6568,True,0.4259
1.01,-0.01,0.93,0.4,0.2,0.75,0.25,18.1899,-45.7213,-59.7291,-41.2024,True,0.4415
1.01,-0.01,0.93,0.4,0.2,1.0,0.0,17.2441,-42.0878,-55.0374,-37.4053,True,0.461
1.01,-0.01,0.93,0.4,0.3,0.0,1.0,20.2205,-53.4648,-67.9871,-47.5449,True,0.4253
1.01,-0.01,0.93,0.4,0.3,0.25,0.75,19.5922,-50.6967,-64.8508,-44.7811,True,0.4375
1.01,-0.01,0.93,0.4,0.3,0.5,0.5,18.8851,-47.7982,-61.3795,-41.7938,True,0.4519
1.01,-0.01,0.93,0.4,0.3,0.75,0.25,18.093,-44.7629,-57.5264,-38.5523,True,0.4693
1.01,-0.01,0.93,0.4,0.3,1.0,0.0,17.2079,-41.5838,-53.2356,-35.02,True,0.4914
1.01,-0.01,0.93,0.5,0.0,0.0,1.0,20.5098,-59.7893,-77.8013,-56.5166,True,0.3629
1.01,-0.01,0.93,0.5,0.0,0.25,0.75,19.9212,-56.0972,-73.6174,-53.4105,True,0.373
1.01,-0.01,0.93,0.5,0.0,0.5,0.5,19.1956,-52.1489,-68.7118,-49.9875,True,0.384
1.01,-0.01,0.93,0.5,0.0,0.75,0.25,18.3209,-47.9267,-63.9349,-46.1926,True,0.3966
1.01,-0.01,0.93,0.5,0.0,1.0,0.0,17.2815,-43.411,-58.5811,-41.9563,True,0.4119
1.01,-0.01,0.93,0.5,0.1,0.0,1.0,20.519,-57.6639,-74.1953,-53.7696,True,0.3816
1.01,-0.01,0.93,0.5,0.1,0.25,0.75,19.8996,-54.2596,-70.1475,-50.7529,True,0.3921
1.01,-0.01,0.93,0.5,0.1,0.5,0.5,19.1637,-50.645,-66.287,-47.4479,True,0.4039
1.01,-0.01,0.93,0.5,0.1,0.75,0.25,18.3011,-46.807,-61.8861,-43.8077,True,0.4178
1.01,-0.01,0.93,0.5,0.1,1.0,0.0,17.2989,-42.7312,-56.8452,-39.7741,True,0.4349
1.01,-0.01,0.93,0.5,0.2,0.0,1.0,20.4476,-55.5627,-70.8863,-50.8392,True,0.4022
1.01,-0.01,0.93,0.5,0.2,0.25,0.75,19.813,-52.4685,-67.5976,-47.9329,True,0.4133
1.01,-0.01,0.93,0.5,0.2,0.5,0.5,19.081,-49.2061,-63.9106,-44.7694,True,0.4262
1.01,-0.01,0.93,0.5,0.2,0.75,0.25,18.2433,-45.7662,-59.7627,-41.3099,True,0.4416
1.01,-0.01,0.93,0.5,0.2,1.0,0.0,17.2894,-42.1386,-55.0777,-37.5071,True,0.461
1.01,-0.01,0.93,0.5,0.3,0.0,1.0,20.2966,-53.4944,-68.006,-47.6696,True,0.4258
1.01,-0.01,0.93,0.5,0.3,0.25,0.75,19.6623,-50.7311,-64.8742,-44.9025,True,0.4379
1.01,-0.01,0.93,0.5,0.3,0.5,0.5,18.9484,-47.8377,-61.4081,-41.9114,True,0.4521
1.01,-0.01,0.93,0.5,0.3,0.75,0.25,18.1484,-44.8078,-57.5609,-38.6658,True,0.4694
1.01,-0.01,0.93,0.5,0.3,1.0,0.0,17.2542,-41.6344,-53.2767,-35.1287,True,0.4912
1.01,-0.01,0.93,0.6,0.0,0.0,1.0,20.5749,-59.8158,-77.6909,-56.5938,True,0.3636
1.01,-0.01,0.93,0.6,0.0,0.25,0.75,19.982,-56.1283,-73.5048,-53.4889,True,0.3736
1.01,-0.01,0.93,0.6,0.0,0.5,0.5,19.2512,-52.185,-68.5976,-50.0669,True,0.3845
1.01,-0.01,0.93,0.6,0.0,0.75,0.25,18.3704,-47.9681,-63.9644,-46.2724,True,0.397
1.01,-0.01,0.93,0.6,0.0,1.0,0.0,17.3239,-43.4582,-58.6169,-42.0359,True,0.4121
1.01,-0.01,0.93,0.6,0.1,0.0,1.0,20.5834,-57.6926,-74.0753,-53.8804,True,0.382
1.01,-0.01,0.93,0.6,0.1,0.25,0.75,19.9598,-54.2933,-70.1691,-50.862,True,0.3924
1.01,-0.01,0.93,0.6,0.1,0.5,0.5,19.2187,-50.6841,-66.3137,-47.5548,True,0.4041
1.01,-0.01,0.93,0.6,0.1,0.75,0.25,18.3501,-46.8518,-61.9187,-43.9119,True,0.4179
1.01,-0.01,0.93,0.6,0.1,1.0,0.0,17.3405,-42.7822,-56.8847,-39.8752,True,0.4349
1.01,-0.01,0.93,0.6,0.2,0.0,1.0,20.5153,-55.5919,-70.9044,-50.9567,True,0.4026
1.01,-0.01,0.93,0.6,0.2,0.25,0.75,19.8761,-52.5026,-67.6201,-48.048,True,0.4137
1.01,-0.01,0.93,0.6,0.2,0.5,0.5,19.1384,-49.2455,-63.9383,-44.8816,True,0.4264
1.01,-0.01,0.93,0.6,0.2,0.75,0.25,18.294,-45.8112,-59.7963,-41.4186,True,0.4417
1.01,-0.01,0.93,0.6,0.2,1.0,0.0,17.3323,-42.1895,-55.118,-37.6119,True,0.4608
1.01,-0.01,0.93,0.6,0.3,0.0,1.0,20.368,-53.524,-68.0248,-47.7943,True,0.4262
1.01,-0.01,0.93,0.6,0.3,0.25,0.75,19.7286,-50.7656,-64.8977,-45.024,True,0.4382
1.01,-0.01,0.93,0.6,0.3,0.5,0.5,19.0084,-47.8773,-61.4368,-42.0292,True,0.4523
1.01,-0.01,0.93,0.6,0.3,0.75,0.25,18.2012,-44.8527,-57.5954,-38.7793,True,0.4694
1.01,-0.01,0.93,0.6,0.3,1.0,0.0,17.2985,-41.6851,-53.3178,-35.2374,True,0.4909
1.01,-0.01,0.93,0.7,0.0,0.0,1.0,20.632,-59.844,-77.5819,-56.6985,True,0.3639
1.01,-0.01,0.93,0.7,0.0,0.25,0.75,20.0359,-56.1616,-73.3939,-53.5925,True,0.3739
1.01,-0.01,0.93,0.7,0.0,0.5,0.5,19.3011,-52.2238,-68.5946,-50.1689,True,0.3847
1.01,-0.01,0.93,0.7,0.0,0.75,0.25,18.4152,-48.0128,-63.9961,-46.3724,True,0.3971
1.01,-0.01,0.93,0.7,0.0,1.0,0.0,17.3624,-43.5093,-58.6555,-42.1335,True,0.4121
1.01,-0.01,0.93,0.7,0.1,0.0,1.0,20.6433,-57.7214,-73.9555,-53.9913,True,0.3823
1.01,-0.01,0.93,0.7,0.1,0.25,0.75,20.0162,-54.327,-70.1907,-50.9711,True,0.3927
1.01,-0.01,0.93,0.7,0.1,0.5,0.5,19.2707,-50.7232,-66.3405,-47.6618,True,0.4043
1.01,-0.01,0.93,0.7,0.1,0.75,0.25,18.3965,-46.8967,-61.9514,-44.0163,True,0.4179
1.01,-0.01,0.93,0.7,0.1,1.0,0.0,17.3801,-42.8333,-56.9241,-39.9763,True,0.4348
1.01,-0.01,0.93,0.7,0.2,0.0,1.0,20.5783,-55.6212,-70.9224,-51.0743,True,0.4029
1.01,-0.01,0.93,0.7,0.2,0.25,0.75,19.9352,-52.5367,-67.6427,-48.1632,True,0.4139
1.01,-0.01,0.93,0.7,0.2,0.5,0.5,19.1926,-49.2849,-63.966,-44.9938,True,0.4266
1.01,-0.01,0.93,0.7,0.2,0.75,0.25,18.3422,-45.8562,-59.8299,-41.5275,True,0.4417
1.01,-0.01,0.93,0.7,0.2,1.0,0.0,17.3732,-42.2404,-55.1583,-37.7167,True,0.4606
1.01,-0.01,0.93,0.7,0.3,0.0,1.0,20.4245,-53.5519,-68.0426,-47.9218,True,0.4262
1.01,-0.01,0.93,0.7,0.3,0.25,0.75,19.7808,-50.798,-64.9199,-45.1481,True,0.4381
1.01,-0.01,0.93,0.7,0.3,0.5,0.5,19.0554,-47.9145,-61.4639,-42.1495,True,0.4521
1.01,-0.01,0.93,0.7,0.3,0.75,0.25,18.2417,-44.8951,-57.6281,-38.8952,True,0.469
1.01,-0.01,0.93,0.7,0.3,1.0,0.0,17.3315,-41.7329,-53.3567,-35.3484,True,0.4903
1.01,-0.01,0.93,0.8,0.0,0.0,1.0,20.6845,-59.8722,-77.473,-56.8033,True,0.3641
1.01,-0.01,0.93,0.8,0.0,0.25,0.75,20.086,-56.1949,-73.2832,-53.6961,True,0.3741
1.01,-0.01,0.93,0.8,0.0,0.5,0.5,19.3478,-52.2626,-68.6203,-50.271,True,0.3849
1.01,-0.01,0.93,0.8,0.0,0.75,0.25,18.4576,-48.0576,-64.0278,-46.4725,True,0.3972
1.01,-0.01,0.93,0.8,0.0,1.0,0.0,17.3989,-43.5605,-58.6942,-42.2311,True,0.412
1.01,-0.01,0.93,0.8,0.1,0.0,1.0,20.6985,-57.7501,-73.8358,-54.1024,True,0.3826
1.01,-0.01,0.93,0.8,0.1,0.25,0.75,20.0687,-54.3608,-70.2123,-51.0803,True,0.3929
1.01,-0.01,0.93,0.8,0.1,0.5,0.5,19.3195,-50.7624,-66.3673,-47.7688,True,0.4044
1.01,-0.01,0.93,0.8,0.1,0.75,0.25,18.4403,-46.9417,-61.9841,-44.1207,True,0.418
1.01,-0.01,0.93,0.8,0.1,1.0,0.0,17.4178,-42.8844,-56.9636,-40.0775,True,0.4346
1.01,-0.01,0.93,0.8,0.2,0.0,1.0,20.6284,-55.649,-70.9397,-51.1939,True,0.4029
1.01,-0.01,0.93,0.8,0.2,0.25,0.75,19.9825,-52.5693,-67.6643,-48.2802,True,0.4139
1.01,-0.01,0.93,0.8,0.2,0.5,0.5,19.236,-49.3225,-63.9926,-45.1079,True,0.4264
1.01,-0.01,0.93,0.8,0.2,0.75,0.25,18.3804,-45.8992,-59.8621,-41.6381,True,0.4414
1.01,-0.01,0.93,0.8,0.2,1.0,0.0,17.405,-42.2892,-55.197,-37.8233,True,0.4602
1.01,-0.01,0.93,0.9,0.0,0.0,1.0,20.7325,-59.9005,-77.3643,-56.9081,True,0.3643
1.01,-0.01,0.93,0.9,0.0,0.25,0.75,20.1323,-56.2282,-73.1728,-53.7998,True,0.3742
1.01,-0.01,0.93,0.9,0.0,0.5,0.5,19.3915,-52.3014,-68.6461,-50.3731,True,0.385
1.01,-0.01,0.93,0.9,0.0,0.75,0.25,18.4973,-48.1024,-64.0595,-46.5727,True,0.3972
1.01,-0.01,0.93,0.9,0.0,1.0,0.0,17.4334,-43.6118,-58.7328,-42.3287,True,0.4119
1.01,-0.01,0.93,0.9,0.1,0.0,1.0,20.7442,-57.7782,-73.7409,-54.2145,True,0.3826
1.01,-0.01,0.93,0.9,0.1,0.25,0.75,20.1127,-54.3937,-70.2334,-51.1907,True,0.3929
1.01,-0.01,0.93,0.9,0.1,0.5,0.5,19.3606,-50.8005,-66.3934,-47.8769,True,0.4044
1.01,-0.01,0.93,0.9,0.1,0.75,0.25,18.4775,-46.9855,-62.016,-44.2261,True,0.4178
1.01,-0.01,0.93,0.9,0.1,1.0,0.0,17.4495,-42.9343,-57.0023,-40.1796,True,0.4343
1.01,-0.01,0.93,1.0,0.0,0.0,1.0,20.7757,-59.9287,-77.2558,-57.0131,True,0.3644
1.01,-0.01,0.93,1.0,0.0,0.25,0.75,20.1746,-56.2616,-73.0625,-53.9036,True,0.3743
1.01,-0.01,0.93,1.0,0.0,0.5,0.5,19.4318,-52.3403,-68.6719,-50.4754,True,0.385
1.01,-0.01,0.93,1.0,0.0,0.75,0.25,18.5345,-48.1473,-64.0913,-46.673,True,0.3971
1.01,-0.01,0.93,1.0,0.0,1.0,0.0,17.466,-43.6631,-58.7716,-42.4265,True,0.4117
1.01,-0.01,0.94,0.1,0.0,0.0,1.0,21.7285,-45.8756,-71.8838,-54.2115,True,0.4008
1.01,-0.01,0.94,0.1,0.0,0.25,0.75,20.8308,-42.7581,-67.649,-51.2959,True,0.4061
1.01,-0.01,0.94,0.1,0.0,0.5,0.5,19.8287,-39.5059,-62.8096,-48.0789,True,0.4124
1.01,-0.01,0.94,0.1,0.0,0.75,0.25,18.7143,-36.1117,-57.2668,-44.5027,True,0.4205
1.01,-0.01,0.94,0.1,0.0,1.0,0.0,17.478,-32.5676,-50.9088,-40.4928,True,0.4316
1.01,-0.01,0.94,0.1,0.1,0.0,1.0,21.4271,-45.9613,-68.7144,-52.3186,True,0.4096
1.01,-0.01,0.94,0.1,0.1,0.25,0.75,20.568,-43.1038,-64.4957,-49.474,True,0.4157
1.01,-0.01,0.94,0.1,0.1,0.5,0.5,19.6194,-40.1251,-59.7256,-46.3493,True,0.4233
1.01,-0.01,0.94,0.1,0.1,0.75,0.25,18.5748,-37.024,-54.3256,-42.8929,True,0.4331
1.01,-0.01,0.94,0.1,0.1,1.0,0.0,17.426,-33.8003,-48.2063,-39.0397,True,0.4464
1.01,-0.01,0.94,0.1,0.2,0.0,1.0,20.9571,-46.2499,-65.3498,-50.3643,True,0.4161
