entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,max_dd_real,passed,calmar
1.01,-0.01,0.93,0.1,0.0,0.0,1.0,23.9271,-50.0458,-72.9202,-63.5013,True,0.3768
1.01,-0.01,0.93,0.1,0.0,0.25,0.75,23.0087,-46.2677,-68.3643,-60.5282,True,0.3801
1.01,-0.01,0.93,0.1,0.0,0.5,0.5,21.9607,-42.3336,-63.1058,-57.1018,True,0.3846
1.01,-0.01,0.93,0.1,0.0,0.75,0.25,20.7691,-38.2336,-57.0286,-53.0257,True,0.3917
1.01,-0.01,0.93,0.1,0.0,1.0,0.0,19.4154,-33.9567,-50.0018,-47.9573,True,0.4048
1.01,-0.01,0.93,0.1,0.1,0.0,1.0,23.7166,-48.4216,-69.0814,-60.2122,True,0.3939
1.01,-0.01,0.93,0.1,0.1,0.25,0.75,22.8008,-45.0304,-64.5147,-57.2745,True,0.3981
1.01,-0.01,0.93,0.1,0.1,0.5,0.5,21.7736,-41.5115,-59.3198,-53.8847,True,0.4041
1.01,-0.01,0.93,0.1,0.1,0.75,0.25,20.6237,-37.857,-53.4052,-49.8547,True,0.4137
1.01,-0.01,0.93,0.1,0.1,1.0,0.0,19.3359,-34.0589,-47.0911,-44.8602,True,0.431
1.01,-0.01,0.93,0.1,0.2,0.0,1.0,23.327,-47.0381,-64.9755,-56.6892,True,0.4115
1.01,-0.01,0.93,0.1,0.2,0.25,0.75,22.432,-44.031,-60.4718,-53.7868,True,0.4171
1.01,-0.01,0.93,0.1,0.2,0.5,0.5,21.4447,-40.922,-55.4165,-50.4394,True,0.4252
1.01,-0.01,0.93,0.1,0.2,0.75,0.25,20.3553,-37.7057,-51.0783,-46.4652,True,0.4381
1.01,-0.01,0.93,0.1,0.2,1.0,0.0,19.1514,-34.3762,-46.4368,-41.5808,True,0.4606
1.01,-0.01,0.93,0.1,0.3,0.0,1.0,22.7957,-45.7399,-60.5116,-53.0587,True,0.4296
1.01,-0.01,0.93,0.1,0.3,0.25,0.75,21.9402,-43.1193,-57.2541,-50.2112,True,0.437
1.01,-0.01,0.93,0.1,0.3,0.5,0.5,21.0091,-40.4199,-53.7742,-46.9329,True,0.4476
1.01,-0.01,0.93,0.1,0.3,0.75,0.25,19.9957,-37.6379,-50.1107,-43.0647,True,0.4643
1.01,-0.01,0.93,0.1,0.3,1.0,0.0,18.8907,-34.7694,-46.254,-38.3482,True,0.4926
1.01,-0.01,0.93,0.2,0.0,0.0,1.0,24.5923,-41.7239,-72.61,-61.3909,False,0.4006
1.01,-0.01,0.93,0.2,0.0,0.25,0.75,23.656,-45.5179,-67.956,-58.4475,True,0.4047
1.01,-0.01,0.93,0.2,0.0,0.5,0.5,22.5858,-41.5794,-62.6024,-55.0457,True,0.4103
1.01,-0.01,0.93,0.2,0.0,0.75,0.25,21.3672,-37.4696,-56.4433,-50.9834,True,0.4191
1.01,-0.01,0.93,0.2,0.0,1.0,0.0,19.9806,-33.1759,-49.7111,-45.9068,True,0.4352
1.01,-0.01,0.93,0.2,0.1,0.0,1.0,24.1035,-47.8202,-68.8672,-58.3503,True,0.4131
1.01,-0.01,0.93,0.2,0.1,0.25,0.75,23.1856,-44.4363,-64.2054,-55.4469,True,0.4182
1.01,-0.01,0.93,0.2,0.1,0.5,0.5,22.152,-40.9215,-58.9328,-52.0872,True,0.4253
1.01,-0.01,0.93,0.2,0.1,0.75,0.25,20.9915,-37.2672,-53.8917,-48.0784,True,0.4366
1.01,-0.01,0.93,0.2,0.1,1.0,0.0,19.6892,-33.4642,-48.7237,-43.0917,True,0.4569
1.01,-0.01,0.93,0.2,0.2,0.0,1.0,23.5318,-46.4634,-64.6585,-55.0467,True,0.4275
1.01,-0.01,0.93,0.2,0.2,0.25,0.75,22.6474,-43.4728,-60.4873,-52.1917,True,0.4339
1.01,-0.01,0.93,0.2,0.2,0.5,0.5,21.6661,-40.3776,-56.6688,-48.8875,True,0.4432
1.01,-0.01,0.93,0.2,0.2,0.75,0.25,20.5774,-37.1717,-52.4324,-44.9538,True,0.4577
1.01,-0.01,0.93,0.2,0.2,1.0,0.0,19.3716,-33.8482,-47.7102,-40.0931,True,0.4832
1.01,-0.01,0.93,0.2,0.3,0.0,1.0,22.7615,-45.1902,-61.5381,-51.4398,True,0.4425
1.01,-0.01,0.93,0.2,0.3,0.25,0.75,21.9353,-42.5879,-58.3227,-48.6487,True,0.4509
1.01,-0.01,0.93,0.2,0.3,0.5,0.5,21.0316,-39.9052,-54.8067,-45.4213,True,0.463
1.01,-0.01,0.93,0.2,0.3,0.75,0.25,20.039,-37.1379,-50.9487,-41.5944,True,0.4818
1.01,-0.01,0.93,0.2,0.3,1.0,0.0,18.9516,-34.2816,-46.6993,-37.0945,True,0.5109
1.01,-0.01,0.93,0.3,0.0,0.0,1.0,24.3636,-45.1196,-72.4038,-61.1175,False,0.3986
1.01,-0.01,0.93,0.3,0.0,0.25,0.75,23.4622,-41.948,-67.6873,-57.9042,False,0.4052
1.01,-0.01,0.93,0.3,0.0,0.5,0.5,22.4265,-41.3762,-62.2807,-54.3415,True,0.4127
1.01,-0.01,0.93,0.3,0.0,0.75,0.25,21.2422,-37.2865,-56.089,-50.3694,True,0.4217
1.01,-0.01,0.93,0.3,0.0,1.0,0.0,19.89,-33.0122,-50.0043,-45.919,True,0.4332
1.01,-0.01,0.93,0.3,0.1,0.0,1.0,23.7078,-42.8484,-68.8111,-58.6993,False,0.4039
1.01,-0.01,0.93,0.3,0.1,0.25,0.75,22.8424,-44.177,-64.1029,-55.5334,True,0.4113
1.01,-0.01,0.93,0.3,0.1,0.5,0.5,21.8621,-40.6768,-58.7882,-52.0458,True,0.4201
1.01,-0.01,0.93,0.3,0.1,0.75,0.25,20.7549,-37.0376,-54.1535,-48.1851,True,0.4307
1.01,-0.01,0.93,0.3,0.1,1.0,0.0,19.5028,-33.2498,-48.9735,-43.8959,True,0.4443
1.01,-0.01,0.93,0.3,0.2,0.0,1.0,23.0742,-40.6092,-64.7541,-56.226,False,0.4104
1.01,-0.01,0.93,0.3,0.2,0.25,0.75,22.2441,-43.2285,-60.8198,-53.1221,True,0.4187
1.01,-0.01,0.93,0.3,0.2,0.5,0.5,21.319,-40.1349,-56.9882,-49.7267,True,0.4287
1.01,-0.01,0.93,0.3,0.2,0.75,0.25,20.2877,-36.9309,-52.7351,-45.9991,True,0.441
1.01,-0.01,0.93,0.3,0.2,1.0,0.0,19.1337,-33.61,-47.9919,-41.892,True,0.4567
1.01,-0.01,0.93,0.3,0.3,0.0,1.0,22.3752,-45.0107,-61.9611,-53.5806,True,0.4176
1.01,-0.01,0.93,0.3,0.3,0.25,0.75,21.595,-42.4012,-58.7295,-50.5598,True,0.4271
1.01,-0.01,0.93,0.3,0.3,0.5,0.5,20.7359,-39.711,-55.1929,-47.2804,True,0.4386
1.01,-0.01,0.93,0.3,0.3,0.75,0.25,19.7902,-36.9361,-51.3094,-43.7127,True,0.4527
1.01,-0.01,0.93,0.3,0.3,1.0,0.0,18.7439,-34.072,-47.0288,-39.8145,True,0.4708
1.01,-0.01,0.93,0.4,0.0,0.0,1.0,23.9776,-48.738,-72.5266,-63.6811,False,0.3765
1.01,-0.01,0.93,0.4,0.0,0.25,0.75,23.1243,-45.4313,-67.7892,-60.4306,False,0.3827
1.01,-0.01,0.93,0.4,0.0,0.5,0.5,22.1343,-41.8534,-62.3659,-56.8178,False,0.3896
1.01,-0.01,0.93,0.4,0.0,0.75,0.25,20.9934,-37.9688,-56.1667,-52.7803,True,0.3978
1.01,-0.01,0.93,0.4,0.0,1.0,0.0,19.6826,-33.7356,-50.3106,-48.2456,True,0.408
1.01,-0.01,0.93,0.4,0.1,0.0,1.0,23.4106,-46.7925,-68.8675,-61.5477,False,0.3804
1.01,-0.01,0.93,0.4,0.1,0.25,0.75,22.5801,-43.5335,-64.1468,-58.3245,False,0.3871
1.01,-0.01,0.93,0.4,0.1,0.5,0.5,21.6324,-40.0266,-59.1393,-54.7658,False,0.395
1.01,-0.01,0.93,0.4,0.1,0.75,0.25,20.5557,-36.8585,-54.5292,-50.8181,True,0.4045
1.01,-0.01,0.93,0.4,0.1,1.0,0.0,19.3322,-33.0519,-49.3244,-46.4227,True,0.4164
1.01,-0.01,0.93,0.4,0.2,0.0,1.0,22.7782,-44.7418,-64.8396,-59.2767,False,0.3843
1.01,-0.01,0.93,0.4,0.2,0.25,0.75,21.985,-41.5104,-61.2531,-56.07,False,0.3921
1.01,-0.01,0.93,0.4,0.2,0.5,0.5,21.0933,-39.9819,-57.4053,-52.5561,True,0.4013
1.01,-0.01,0.93,0.4,0.2,0.75,0.25,20.0931,-36.7611,-53.1301,-48.6945,True,0.4126
1.01,-0.01,0.93,0.4,0.2,1.0,0.0,18.9686,-33.4225,-48.358,-44.4355,True,0.4269
1.01,-0.01,0.93,0.4,0.3,0.0,1.0,22.2451,-40.4034,-62.2153,-55.2077,False,0.4029
1.01,-0.01,0.93,0.4,0.3,0.25,0.75,21.4827,-42.3654,-58.9797,-52.0991,True,0.4123
1.01,-0.01,0.93,0.4,0.3,0.5,0.5,20.6401,-39.6724,-55.4371,-48.7226,True,0.4236
1.01,-0.01,0.93,0.4,0.3,0.75,0.25,19.7094,-36.8945,-51.5452,-45.0515,True,0.4375
1.01,-0.01,0.93,0.4,0.3,1.0,0.0,18.6766,-34.027,-47.2535,-41.0429,True,0.4551
1.01,-0.01,0.93,0.5,0.0,0.0,1.0,23.6665,-52.4536,-72.5911,-66.3136,False,0.3569
1.01,-0.01,0.93,0.5,0.0,0.25,0.75,22.8517,-49.0097,-67.8431,-63.0254,False,0.3626
1.01,-0.01,0.93,0.5,0.0,0.5,0.5,21.8973,-45.2794,-62.407,-59.3622,False,0.3689
1.01,-0.01,0.93,0.5,0.0,0.75,0.25,20.7892,-41.2253,-56.2892,-55.2594,False,0.3762
1.01,-0.01,0.93,0.5,0.0,1.0,0.0,19.5084,-36.8028,-50.6571,-50.6411,True,0.3852
1.01,-0.01,0.93,0.5,0.1,0.0,1.0,23.2711,-48.7184,-68.9094,-62.9428,False,0.3697
1.01,-0.01,0.93,0.5,0.1,0.25,0.75,22.4594,-45.363,-64.1881,-59.6777,False,0.3763
1.01,-0.01,0.93,0.5,0.1,0.5,0.5,21.5289,-41.7514,-59.3609,-56.0694,False,0.384
1.01,-0.01,0.93,0.5,0.1,0.75,0.25,20.4675,-37.8546,-54.7471,-52.0644,True,0.3931
1.01,-0.01,0.93,0.5,0.1,1.0,0.0,19.2577,-33.6368,-49.5356,-47.6026,True,0.4046
1.01,-0.01,0.93,0.5,0.2,0.0,1.0,22.8092,-44.6941,-64.8301,-59.2421,False,0.385
1.01,-0.01,0.93,0.5,0.2,0.25,0.75,22.014,-41.4616,-61.2897,-56.0339,False,0.3929
1.01,-0.01,0.93,0.5,0.2,0.5,0.5,21.1195,-40.0461,-57.4506,-52.5179,True,0.4021
1.01,-0.01,0.93,0.5,0.2,0.75,0.25,20.1158,-36.8348,-53.185,-48.6538,True,0.4134
1.01,-0.01,0.93,0.5,0.2,1.0,0.0,18.9869,-33.5058,-48.4235,-44.3918,True,0.4277
1.01,-0.01,0.93,0.5,0.3,0.0,1.0,22.2789,-40.3523,-62.2445,-55.1702,False,0.4038
1.01,-0.01,0.93,0.5,0.3,0.25,0.75,21.5141,-42.4191,-59.0167,-52.0605,True,0.4133
1.01,-0.01,0.93,0.5,0.3,0.5,0.5,20.6683,-39.7351,-55.4827,-48.682,True,0.4246
1.01,-0.01,0.93,0.5,0.3,0.75,0.25,19.7337,-36.9663,-51.6003,-45.0084,True,0.4384
1.01,-0.01,0.93,0.5,0.3,1.0,0.0,18.6959,-34.1082,-47.319,-40.9971,True,0.456
1.01,-0.01,0.93,0.6,0.0,0.0,1.0,23.6912,-52.412,-72.5833,-66.2841,False,0.3574
1.01,-0.01,0.93,0.6,0.0,0.25,0.75,22.8753,-48.9661,-67.8431,-62.9938,False,0.3631
1.01,-0.01,0.93,0.6,0.0,0.5,0.5,21.9191,-45.2337,-62.417,-59.3284,False,0.3695
1.01,-0.01,0.93,0.6,0.0,0.75,0.25,20.8084,-41.1772,-56.3408,-55.2229,False,0.3768
1.01,-0.01,0.93,0.6,0.0,1.0,0.0,19.5241,-36.7521,-50.7193,-50.6015,True,0.3858
1.01,-0.01,0.93,0.6,0.1,0.0,1.0,23.2974,-48.6738,-68.9015,-62.9108,False,0.3703
1.01,-0.01,0.93,0.6,0.1,0.25,0.75,22.4843,-45.3169,-64.1896,-59.644,False,0.377
1.01,-0.01,0.93,0.6,0.1,0.5,0.5,21.5518,-41.7032,-59.4058,-56.0334,False,0.3846
1.01,-0.01,0.93,0.6,0.1,0.75,0.25,20.4876,-37.8042,-54.8017,-52.0258,True,0.3938
1.01,-0.01,0.93,0.6,0.1,1.0,0.0,19.2739,-33.5839,-49.6011,-47.561,True,0.4052
1.01,-0.01,0.93,0.6,0.2,0.0,1.0,22.8379,-44.6463,-64.8207,-59.2074,False,0.3857
1.01,-0.01,0.93,0.6,0.2,0.25,0.75,22.041,-41.4128,-61.3264,-55.9978,False,0.3936
1.01,-0.01,0.93,0.6,0.2,0.5,0.5,21.1441,-40.1103,-57.4959,-52.4796,True,0.4029
1.01,-0.01,0.93,0.6,0.2,0.75,0.25,20.1372,-36.9084,-53.2399,-48.613,True,0.4142
1.01,-0.01,0.93,0.6,0.2,1.0,0.0,19.004,-33.5892,-48.4891,-44.3481,True,0.4285
1.01,-0.01,0.93,0.6,0.3,0.0,1.0,22.3102,-40.3011,-62.2737,-55.1326,False,0.4047
1.01,-0.01,0.93,0.6,0.3,0.25,0.75,21.5435,-42.4729,-59.0537,-52.0219,True,0.4141
1.01,-0.01,0.93,0.6,0.3,0.5,0.5,20.6947,-39.7977,-55.5283,-48.6413,True,0.4255
1.01,-0.01,0.93,0.6,0.3,0.75,0.25,19.7566,-37.0381,-51.6553,-44.9653,True,0.4394
1.01,-0.01,0.93,0.6,0.3,1.0,0.0,18.7141,-34.1893,-47.3845,-40.9512,True,0.457
1.01,-0.01,0.93,0.7,0.0,0.0,1.0,23.7131,-52.3703,-72.5768,-66.2545,False,0.3579
1.01,-0.01,0.93,0.7,0.0,0.25,0.75,22.8965,-48.9225,-67.8451,-62.9623,False,0.3637
1.01,-0.01,0.93,0.7,0.0,0.5,0.5,21.9389,-45.188,-62.4293,-59.2945,False,0.37
1.01,-0.01,0.93,0.7,0.0,0.75,0.25,20.826,-41.1292,-56.3951,-55.1864,False,0.3774
1.01,-0.01,0.93,0.7,0.0,1.0,0.0,19.5384,-36.7013,-50.7847,-50.5619,True,0.3864
1.01,-0.01,0.93,0.7,0.1,0.0,1.0,23.3214,-48.6292,-68.8937,-62.8788,False,0.3709
1.01,-0.01,0.93,0.7,0.1,0.25,0.75,22.5073,-45.2708,-64.1911,-59.6103,False,0.3776
1.01,-0.01,0.93,0.7,0.1,0.5,0.5,21.573,-41.6551,-59.4507,-55.9974,False,0.3853
1.01,-0.01,0.93,0.7,0.1,0.75,0.25,20.5063,-37.7538,-54.8563,-51.9872,True,0.3944
1.01,-0.01,0.93,0.7,0.1,1.0,0.0,19.289,-33.5309,-49.6666,-47.5194,True,0.4059
1.01,-0.01,0.93,0.7,0.2,0.0,1.0,22.8641,-44.5985,-64.8173,-59.1728,False,0.3864
1.01,-0.01,0.93,0.7,0.2,0.25,0.75,22.066,-41.3639,-61.3631,-55.9617,False,0.3943
1.01,-0.01,0.93,0.7,0.2,0.5,0.5,21.167,-40.1745,-57.5412,-52.4413,True,0.4036
1.01,-0.01,0.93,0.7,0.2,0.75,0.25,20.1573,-36.982,-53.2948,-48.5722,True,0.415
1.01,-0.01,0.93,0.7,0.2,1.0,0.0,19.0201,-33.6725,-48.5546,-44.3044,True,0.4293
1.01,-0.01,0.93,0.7,0.3,0.0,1.0,22.3457,-40.2752,-62.3005,-55.1161,False,0.4054
1.01,-0.01,0.93,0.7,0.3,0.25,0.75,21.5743,-42.5222,-59.0877,-52.0037,True,0.4149
1.01,-0.01,0.93,0.7,0.3,0.5,0.5,20.7204,-39.8552,-55.5703,-48.6196,True,0.4262
1.01,-0.01,0.93,0.7,0.3,0.75,0.25,19.7772,-37.1039,-51.706,-44.9398,True,0.4401
1.01,-0.01,0.93,0.7,0.3,1.0,0.0,18.7282,-34.2638,-47.4447,-40.9216,True,0.4577
1.01,-0.01,0.93,0.8,0.0,0.0,1.0,23.7327,-52.3286,-72.5704,-66.225,False,0.3584
1.01,-0.01,0.93,0.8,0.0,0.25,0.75,22.9157,-48.8789,-67.8471,-62.9307,False,0.3641
1.01,-0.01,0.93,0.8,0.0,0.5,0.5,21.957,-45.1423,-62.4418,-59.2606,False,0.3705
1.01,-0.01,0.93,0.8,0.0,0.75,0.25,20.8422,-41.0811,-56.4494,-55.1498,False,0.3779
1.01,-0.01,0.93,0.8,0.0,1.0,0.0,19.5516,-36.6505,-50.8501,-50.5222,True,0.387
1.01,-0.01,0.93,0.8,0.1,0.0,1.0,23.3429,-48.5846,-68.886,-62.8469,False,0.3714
1.01,-0.01,0.93,0.8,0.1,0.25,0.75,22.5283,-45.2246,-64.1928,-59.5765,False,0.3781
1.01,-0.01,0.93,0.8,0.1,0.5,0.5,21.5926,-41.6069,-59.4956,-55.9614,False,0.3858
1.01,-0.01,0.93,0.8,0.1,0.75,0.25,20.5237,-37.7034,-54.9109,-51.9486,True,0.3951
1.01,-0.01,0.93,0.8,0.1,1.0,0.0,19.3031,-33.478,-49.7321,-47.4777,True,0.4066
1.01,-0.01,0.93,0.8,0.2,0.0,1.0,22.8928,-44.5686,-64.8444,-59.1526,False,0.387
1.01,-0.01,0.93,0.8,0.2,0.25,0.75,22.0916,-41.3325,-61.3974,-55.9399,False,0.3949
1.01,-0.01,0.93,0.8,0.2,0.5,0.5,21.189,-40.2346,-57.5836,-52.4165,True,0.4042
1.01,-0.01,0.93,0.8,0.2,0.75,0.25,20.1754,-37.051,-53.3462,-48.544,True,0.4156
1.01,-0.01,0.93,0.8,0.2,1.0,0.0,19.0329,-33.7505,-48.6161,-44.2725,True,0.4299
1.01,-0.01,0.93,0.9,0.0,0.0,1.0,23.7498,-52.2869,-72.5641,-66.1955,False,0.3588
1.01,-0.01,0.93,0.9,0.0,0.25,0.75,22.9328,-48.8353,-67.8492,-62.8991,False,0.3646
1.01,-0.01,0.93,0.9,0.0,0.5,0.5,21.9735,-45.0965,-62.4544,-59.2267,False,0.371
1.01,-0.01,0.93,0.9,0.0,0.75,0.25,20.8571,-41.0329,-56.5036,-55.1133,False,0.3784
