entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.4,0.2,0.0,1.0,19.79,-49.03,False
1.01,0.005,0.95,0.4,0.2,0.25,0.75,18.64,-46.1,False
1.01,0.005,0.95,0.4,0.2,0.5,0.5,17.43,-42.82,False
1.01,0.005,0.95,0.4,0.2,0.75,0.25,16.15,-39.1,True
1.01,0.005,0.95,0.4,0.2,1.0,0.0,14.81,-34.85,True
1.01,0.005,0.95,0.4,0.3,0.0,1.0,19.22,-48.34,False
1.01,0.005,0.95,0.4,0.3,0.25,0.75,18.11,-45.33,False
1.01,0.005,0.95,0.4,0.3,0.5,0.5,16.94,-41.97,False
1.01,0.005,0.95,0.4,0.3,0.75,0.25,15.73,-38.19,True
1.01,0.005,0.95,0.4,0.3,1.0,0.0,14.47,-33.93,True
1.01,0.005,0.97,0.1,0.0,0.0,1.0,19.14,-36.23,True
1.01,0.005,0.97,0.1,0.0,0.25,0.75,17.96,-34.15,True
1.01,0.005,0.97,0.1,0.0,0.5,0.5,16.73,-31.73,True
1.01,0.005,0.97,0.1,0.0,0.75,0.25,15.42,-28.87,True
1.01,0.005,0.97,0.1,0.0,1.0,0.0,14.04,-25.42,True
1.01,0.005,0.97,0.1,0.1,0.0,1.0,18.91,-36.02,True
1.01,0.005,0.97,0.1,0.1,0.25,0.75,17.76,-33.92,True
1.01,0.005,0.97,0.1,0.1,0.5,0.5,16.56,-31.49,True
1.01,0.005,0.97,0.1,0.1,0.75,0.25,15.3,-28.64,True
1.01,0.005,0.97,0.1,0.1,1.0,0.0,13.98,-25.26,True
1.01,0.005,0.97,0.1,0.2,0.0,1.0,18.61,-35.77,True
1.01,0.005,0.97,0.1,0.2,0.25,0.75,17.49,-33.66,True
1.01,0.005,0.97,0.1,0.2,0.5,0.5,16.32,-31.22,True
1.01,0.005,0.97,0.1,0.2,0.75,0.25,15.11,-28.4,True
1.01,0.005,0.97,0.1,0.2,1.0,0.0,13.86,-25.09,True
1.01,0.005,0.97,0.1,0.3,0.0,1.0,18.28,-35.49,True
1.01,0.005,0.97,0.1,0.3,0.25,0.75,17.19,-33.36,True
1.01,0.005,0.97,0.1,0.3,0.5,0.5,16.07,-30.92,True
1.01,0.005,0.97,0.1,0.3,0.75,0.25,14.91,-28.12,True
1.01,0.005,0.97,0.1,0.3,1.0,0.0,13.73,-24.91,True
1.01,0.005,0.97,0.2,0.0,0.0,1.0,20.63,-39.81,True
1.01,0.005,0.97,0.2,0.0,0.25,0.75,19.36,-37.55,True
1.01,0.005,0.97,0.2,0.0,0.5,0.5,18.01,-34.94,True
1.01,0.005,0.97,0.2,0.0,0.75,0.25,16.6,-31.88,True
1.01,0.005,0.97,0.2,0.0,1.0,0.0,15.1,-28.23,True
1.01,0.005,0.97,0.2,0.1,0.0,1.0,20.25,-39.66,True
1.01,0.005,0.97,0.2,0.1,0.25,0.75,19.0,-37.38,True
1.01,0.005,0.97,0.2,0.1,0.5,0.5,17.69,-34.77,True
1.01,0.005,0.97,0.2,0.1,0.75,0.25,16.31,-31.72,True
