entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,passed,calmar
1.01,-0.01,0.93,0.3,0.2,0.25,0.75,8.4712,-47.6285,-73.3015,False,0.1156
1.01,-0.01,0.93,0.3,0.2,0.5,0.5,8.6982,-44.7629,-68.8723,False,0.1263
1.01,-0.01,0.93,0.3,0.2,0.75,0.25,8.85,-41.6868,-64.8127,False,0.1365
1.01,-0.01,0.93,0.3,0.2,1.0,0.0,8.924,-38.3673,-60.1648,True,0.1483
1.01,-0.01,0.93,0.3,0.3,0.0,1.0,8.3236,-50.1638,-72.2387,False,0.1152
1.01,-0.01,0.93,0.3,0.3,0.25,0.75,8.5897,-47.814,-68.5088,False,0.1254
1.01,-0.01,0.93,0.3,0.3,0.5,0.5,8.7965,-45.1969,-65.1812,False,0.135
1.01,-0.01,0.93,0.3,0.3,0.75,0.25,8.9401,-42.2425,-61.4399,False,0.1455
1.01,-0.01,0.93,0.3,0.3,1.0,0.0,9.0196,-39.0853,-57.1877,True,0.1577
1.01,-0.01,0.93,0.4,0.0,0.0,1.0,7.3549,-57.8216,-84.6739,False,0.0869
1.01,-0.01,0.93,0.4,0.0,0.25,0.75,7.7678,-54.6838,-81.0323,False,0.0959
1.01,-0.01,0.93,0.4,0.0,0.5,0.5,8.082,-51.2923,-76.5866,False,0.1055
1.01,-0.01,0.93,0.4,0.0,0.75,0.25,8.2961,-47.5998,-71.1333,False,0.1166
1.01,-0.01,0.93,0.4,0.0,1.0,0.0,8.4078,-43.5441,-65.5864,False,0.1282
1.01,-0.01,0.93,0.4,0.1,0.0,1.0,7.5025,-58.2058,-80.8375,False,0.0928
1.01,-0.01,0.93,0.4,0.1,0.25,0.75,7.8843,-55.1131,-77.1147,False,0.1022
1.01,-0.01,0.93,0.4,0.1,0.5,0.5,8.1777,-51.7936,-72.6217,False,0.1126
1.01,-0.01,0.93,0.4,0.1,0.75,0.25,8.3877,-48.2081,-67.7539,False,0.1238
1.01,-0.01,0.93,0.4,0.1,1.0,0.0,8.5073,-44.3099,-62.7209,False,0.1356
1.01,-0.01,0.93,0.4,0.2,0.0,1.0,7.7056,-56.5604,-76.5853,False,0.1006
1.01,-0.01,0.93,0.4,0.2,0.25,0.75,8.0329,-53.9635,-72.8184,False,0.1103
1.01,-0.01,0.93,0.4,0.2,0.5,0.5,8.2986,-51.015,-68.6258,False,0.1209
1.01,-0.01,0.93,0.4,0.2,0.75,0.25,8.4967,-47.7056,-64.5475,False,0.1316
1.01,-0.01,0.93,0.4,0.2,1.0,0.0,8.6223,-44.0182,-59.8793,False,0.144
1.01,-0.01,0.93,0.4,0.3,0.0,1.0,8.1414,-52.2327,-71.9333,False,0.1132
1.01,-0.01,0.93,0.4,0.3,0.25,0.75,8.4083,-49.9958,-68.4493,False,0.1228
1.01,-0.01,0.93,0.4,0.3,0.5,0.5,8.6275,-47.3977,-65.1385,False,0.1324
1.01,-0.01,0.93,0.4,0.3,0.75,0.25,8.7926,-44.4436,-61.3731,False,0.1433
1.01,-0.01,0.93,0.4,0.3,1.0,0.0,8.8984,-41.1348,-57.1036,False,0.1558
1.01,-0.01,0.93,0.5,0.0,0.0,1.0,6.7349,-65.3126,-84.291,False,0.0799
1.01,-0.01,0.93,0.5,0.0,0.25,0.75,7.2211,-61.9284,-80.5955,False,0.0896
1.01,-0.01,0.93,0.5,0.0,0.5,0.5,7.6042,-58.2645,-76.09,False,0.0999
1.01,-0.01,0.93,0.5,0.0,0.75,0.25,7.8834,-54.2731,-70.6038,False,0.1117
1.01,-0.01,0.93,0.5,0.0,1.0,0.0,8.0569,-49.8912,-65.2276,False,0.1235
1.01,-0.01,0.93,0.5,0.1,0.0,1.0,7.2624,-60.9441,-80.5124,False,0.0902
1.01,-0.01,0.93,0.5,0.1,0.25,0.75,7.662,-57.9546,-76.7502,False,0.0998
1.01,-0.01,0.93,0.5,0.1,0.5,0.5,7.9819,-54.643,-72.2163,False,0.1105
1.01,-0.01,0.93,0.5,0.1,0.75,0.25,8.2178,-50.9828,-67.5959,False,0.1216
1.01,-0.01,0.93,0.5,0.1,1.0,0.0,8.366,-46.9361,-62.5493,False,0.1338
1.01,-0.01,0.93,0.5,0.2,0.0,1.0,7.7344,-56.6152,-76.3341,False,0.1013
1.01,-0.01,0.93,0.5,0.2,0.25,0.75,8.0632,-54.0,-72.5318,False,0.1112
1.01,-0.01,0.93,0.5,0.2,0.5,0.5,8.3299,-51.0371,-68.6202,False,0.1214
1.01,-0.01,0.93,0.5,0.2,0.75,0.25,8.5288,-47.7181,-64.5237,False,0.1322
1.01,-0.01,0.93,0.5,0.2,1.0,0.0,8.6553,-44.027,-59.8365,False,0.1446
1.01,-0.01,0.93,0.5,0.3,0.0,1.0,8.1768,-52.3112,-71.6894,False,0.1141
1.01,-0.01,0.93,0.5,0.3,0.25,0.75,8.4418,-50.0764,-68.5128,False,0.1232
1.01,-0.01,0.93,0.5,0.3,0.5,0.5,8.6554,-47.4581,-65.1768,False,0.1328
1.01,-0.01,0.93,0.5,0.3,0.75,0.25,8.8211,-44.4889,-61.3852,False,0.1437
1.01,-0.01,0.93,0.5,0.3,1.0,0.0,8.9283,-41.1718,-57.0886,False,0.1564
1.01,-0.01,0.93,0.6,0.0,0.0,1.0,6.7831,-65.2736,-84.0298,False,0.0807
1.01,-0.01,0.93,0.6,0.0,0.25,0.75,7.2669,-61.8852,-80.3006,False,0.0905
1.01,-0.01,0.93,0.6,0.0,0.5,0.5,7.648,-58.2186,-75.7587,False,0.101
1.01,-0.01,0.93,0.6,0.0,0.75,0.25,7.9257,-54.2269,-70.5115,False,0.1124
1.01,-0.01,0.93,0.6,0.0,1.0,0.0,8.0982,-49.8494,-65.1306,False,0.1243
1.01,-0.01,0.93,0.6,0.1,0.0,1.0,7.2976,-60.9448,-80.2529,False,0.0909
1.01,-0.01,0.93,0.6,0.1,0.25,0.75,7.6974,-57.9444,-76.4564,False,0.1007
1.01,-0.01,0.93,0.6,0.1,0.5,0.5,8.0173,-54.6248,-71.918,False,0.1115
1.01,-0.01,0.93,0.6,0.1,0.75,0.25,8.2534,-50.9604,-67.5367,False,0.1222
1.01,-0.01,0.93,0.6,0.1,1.0,0.0,8.402,-46.9149,-62.4787,False,0.1345
1.01,-0.01,0.93,0.6,0.2,0.0,1.0,7.7709,-56.666,-76.079,False,0.1021
1.01,-0.01,0.93,0.6,0.2,0.25,0.75,8.0925,-54.0334,-72.2412,False,0.112
1.01,-0.01,0.93,0.6,0.2,0.5,0.5,8.3604,-51.0568,-68.6132,False,0.1218
1.01,-0.01,0.93,0.6,0.2,0.75,0.25,8.5603,-47.7287,-64.4987,False,0.1327
1.01,-0.01,0.93,0.6,0.2,1.0,0.0,8.6878,-44.0345,-59.7928,False,0.1453
1.01,-0.01,0.93,0.6,0.3,0.0,1.0,8.2028,-52.3629,-71.5983,False,0.1146
1.01,-0.01,0.93,0.6,0.3,0.25,0.75,8.4664,-50.0882,-68.6186,False,0.1234
1.01,-0.01,0.93,0.6,0.3,0.5,0.5,8.6886,-47.4729,-65.2303,False,0.1332
1.01,-0.01,0.93,0.6,0.3,0.75,0.25,8.8573,-44.514,-61.3956,False,0.1443
1.01,-0.01,0.93,0.6,0.3,1.0,0.0,8.9648,-41.2014,-57.0723,False,0.1571
1.01,-0.01,0.93,0.7,0.0,0.0,1.0,6.8259,-65.2218,-83.7656,False,0.0815
1.01,-0.01,0.93,0.7,0.0,0.25,0.75,7.3082,-61.8298,-80.0026,False,0.0913
1.01,-0.01,0.93,0.7,0.0,0.5,0.5,7.6882,-58.1612,-75.4242,False,0.1019
1.01,-0.01,0.93,0.7,0.0,0.75,0.25,7.9652,-54.1702,-70.4191,False,0.1131
1.01,-0.01,0.93,0.7,0.0,1.0,0.0,8.1375,-49.7981,-65.0334,False,0.1251
1.01,-0.01,0.93,0.7,0.1,0.0,1.0,7.3313,-60.9435,-79.9903,False,0.0917
1.01,-0.01,0.93,0.7,0.1,0.25,0.75,7.7316,-57.9326,-76.1594,False,0.1015
1.01,-0.01,0.93,0.7,0.1,0.5,0.5,8.0519,-54.6053,-71.8691,False,0.112
1.01,-0.01,0.93,0.7,0.1,0.75,0.25,8.2884,-50.9369,-67.4769,False,0.1228
1.01,-0.01,0.93,0.7,0.1,1.0,0.0,8.4374,-46.893,-62.4077,False,0.1352
1.01,-0.01,0.93,0.7,0.2,0.0,1.0,7.7997,-56.6691,-75.8544,False,0.1028
1.01,-0.01,0.93,0.7,0.2,0.25,0.75,8.1292,-54.0324,-72.2252,False,0.1126
1.01,-0.01,0.93,0.7,0.2,0.5,0.5,8.3982,-51.0619,-68.6047,False,0.1224
1.01,-0.01,0.93,0.7,0.2,0.75,0.25,8.5975,-47.7337,-64.4726,False,0.1334
1.01,-0.01,0.93,0.7,0.2,1.0,0.0,8.7242,-44.0407,-59.7483,False,0.146
1.01,-0.01,0.93,0.7,0.3,0.0,1.0,8.2542,-52.5623,-71.8023,False,0.115
1.01,-0.01,0.93,0.7,0.3,0.25,0.75,8.5169,-50.2601,-68.8018,False,0.1238
1.01,-0.01,0.93,0.7,0.3,0.5,0.5,8.7333,-47.6073,-65.3906,False,0.1336
1.01,-0.01,0.93,0.7,0.3,0.75,0.25,8.8969,-44.611,-61.5236,False,0.1446
1.01,-0.01,0.93,0.7,0.3,1.0,0.0,9.0021,-41.2763,-57.1513,False,0.1575
