entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.4,0.2,0.0,1.0,17.82,-45.58,False
1.01,0.005,0.95,0.4,0.2,0.25,0.75,16.78,-42.89,False
1.01,0.005,0.95,0.4,0.2,0.5,0.5,15.68,-39.91,True
1.01,0.005,0.95,0.4,0.2,0.75,0.25,14.51,-36.58,True
1.01,0.005,0.95,0.4,0.2,1.0,0.0,13.27,-32.84,True
1.01,0.005,0.95,0.4,0.3,0.0,1.0,17.32,-45.21,False
1.01,0.005,0.95,0.4,0.3,0.25,0.75,16.32,-42.47,False
1.01,0.005,0.95,0.4,0.3,0.5,0.5,15.27,-39.46,True
1.01,0.005,0.95,0.4,0.3,0.75,0.25,14.16,-36.12,True
1.01,0.005,0.95,0.4,0.3,1.0,0.0,13.01,-32.41,True
1.01,0.005,0.97,0.1,0.0,0.0,1.0,13.62,-28.23,True
1.01,0.005,0.97,0.1,0.0,0.25,0.75,12.81,-26.57,True
1.01,0.005,0.97,0.1,0.0,0.5,0.5,11.95,-24.66,True
1.01,0.005,0.97,0.1,0.0,0.75,0.25,11.04,-22.43,True
1.01,0.005,0.97,0.1,0.0,1.0,0.0,10.07,-19.78,True
1.01,0.005,0.97,0.1,0.1,0.0,1.0,13.83,-28.08,True
1.01,0.005,0.97,0.1,0.1,0.25,0.75,13.05,-26.45,True
1.01,0.005,0.97,0.1,0.1,0.5,0.5,12.22,-24.6,True
1.01,0.005,0.97,0.1,0.1,0.75,0.25,11.36,-22.49,True
1.01,0.005,0.97,0.1,0.1,1.0,0.0,10.46,-20.04,True
1.01,0.005,0.97,0.1,0.2,0.0,1.0,13.9,-27.92,True
1.01,0.005,0.97,0.1,0.2,0.25,0.75,13.14,-26.33,True
1.01,0.005,0.97,0.1,0.2,0.5,0.5,12.35,-24.55,True
1.01,0.005,0.97,0.1,0.2,0.75,0.25,11.54,-22.55,True
1.01,0.005,0.97,0.1,0.2,1.0,0.0,10.7,-20.29,True
1.01,0.005,0.97,0.1,0.3,0.0,1.0,13.94,-27.76,True
1.01,0.005,0.97,0.1,0.3,0.25,0.75,13.21,-26.21,True
1.01,0.005,0.97,0.1,0.3,0.5,0.5,12.46,-24.5,True
1.01,0.005,0.97,0.1,0.3,0.75,0.25,11.7,-22.61,True
1.01,0.005,0.97,0.1,0.3,1.0,0.0,10.9,-20.52,True
1.01,0.005,0.97,0.2,0.0,0.0,1.0,15.48,-32.97,True
1.01,0.005,0.97,0.2,0.0,0.25,0.75,14.56,-31.02,True
1.01,0.005,0.97,0.2,0.0,0.5,0.5,13.58,-28.83,True
1.01,0.005,0.97,0.2,0.0,0.75,0.25,12.53,-26.3,True
1.01,0.005,0.97,0.2,0.0,1.0,0.0,11.41,-23.34,True
1.01,0.005,0.97,0.2,0.1,0.0,1.0,15.33,-32.89,True
1.01,0.005,0.97,0.2,0.1,0.25,0.75,14.43,-30.97,True
1.01,0.005,0.97,0.2,0.1,0.5,0.5,13.49,-28.82,True
1.01,0.005,0.97,0.2,0.1,0.75,0.25,12.49,-26.39,True
1.01,0.005,0.97,0.2,0.1,1.0,0.0,11.45,-23.59,True
1.01,0.005,0.97,0.2,0.2,0.0,1.0,15.15,-32.81,True
1.01,0.005,0.97,0.2,0.2,0.25,0.75,14.28,-30.91,True
1.01,0.005,0.97,0.2,0.2,0.5,0.5,13.38,-28.81,True
1.01,0.005,0.97,0.2,0.2,0.75,0.25,12.44,-26.47,True
1.01,0.005,0.97,0.2,0.2,1.0,0.0,11.47,-23.85,True
1.01,0.005,0.97,0.2,0.3,0.0,1.0,14.99,-32.71,True
1.01,0.005,0.97,0.2,0.3,0.25,0.75,14.15,-30.85,True
1.01,0.005,0.97,0.2,0.3,0.5,0.5,13.28,-28.8,True
1.01,0.005,0.97,0.2,0.3,0.75,0.25,12.39,-26.56,True
1.01,0.005,0.97,0.2,0.3,1.0,0.0,11.49,-24.1,True
1.01,0.005,0.97,0.3,0.0,0.0,1.0,15.94,-37.61,True
1.01,0.005,0.97,0.3,0.0,0.25,0.75,15.0,-35.38,True
1.01,0.005,0.97,0.3,0.0,0.5,0.5,13.99,-32.89,True
1.01,0.005,0.97,0.3,0.0,0.75,0.25,12.92,-30.09,True
1.01,0.005,0.97,0.3,0.0,1.0,0.0,11.77,-26.85,True
1.01,0.005,0.97,0.3,0.1,0.0,1.0,15.77,-37.57,True
1.01,0.005,0.97,0.3,0.1,0.25,0.75,14.85,-35.36,True
1.01,0.005,0.97,0.3,0.1,0.5,0.5,13.88,-32.92,True
1.01,0.005,0.97,0.3,0.1,0.75,0.25,12.85,-30.19,True
1.01,0.005,0.97,0.3,0.1,1.0,0.0,11.78,-27.11,True
1.01,0.005,0.97,0.3,0.2,0.0,1.0,15.48,-37.52,True
1.01,0.005,0.97,0.3,0.2,0.25,0.75,14.6,-35.34,True
1.01,0.005,0.97,0.3,0.2,0.5,0.5,13.68,-32.93,True
