Year,IWM Ret %,IWM Value,Strategy Ret %,Strategy Value
2003,43.93,14393.43,121.03,22102.7
2004,18.05,16991.96,-13.83,19044.92
2005,4.46,17750.27,-3.13,18449.06
2006,18.27,20993.73,34.94,24895.66
2007,-1.79,20618.0,-18.03,20407.61
2008,-34.14,13578.86,0.0,20407.61
2009,28.49,17447.01,83.51,37450.16
2010,26.92,22143.47,14.98,43058.51
2011,-4.43,21163.23,-25.39,32125.96
2012,16.7,24698.29,19.53,38399.85
2013,38.7,34255.69,146.49,94652.17
2014,5.04,35980.93,-21.53,74274.4
2015,-4.48,34369.37,-27.93,53531.18
2016,21.59,41790.18,36.45,73042.99
2017,14.58,47884.25,39.15,101636.6
2018,-11.12,42558.92,-8.47,93030.56
2019,25.39,53364.52,0.0,93030.56
2020,20.03,64053.85,99.61,185697.53
2021,14.54,73364.76,27.88,237463.12
2022,-20.48,58336.13,-19.37,191455.53
2023,16.83,68152.74,-20.4,152400.6
2024,11.38,75911.39,7.21,163382.64
2025,12.66,85519.95,-15.99,137254.27
2026,19.22,101956.6,53.14,210195.91
