Year,IWM Ret %,IWM Value,Strategy Ret %,Strategy Value
2003,43.93,14393.43,29.5,12949.63
2004,18.05,16991.95,-2.65,12606.5
2005,4.46,17750.27,1.02,12734.94
2006,18.27,20993.74,4.31,13284.27
2007,-1.79,20617.99,-4.78,12649.62
2008,-34.14,13578.86,-20.64,10038.11
2009,28.49,17447.01,73.02,17368.33
2010,26.92,22143.46,-3.17,16816.89
2011,-4.43,21163.24,-8.84,15330.93
2012,16.7,24698.28,3.91,15929.65
2013,38.7,34255.69,52.76,24334.54
2014,5.04,35980.93,-11.65,21500.53
2015,-4.48,34369.36,-1.27,21227.58
2016,21.59,41790.17,45.86,30961.63
2017,14.58,47884.23,33.53,41343.36
2018,-11.12,42558.91,-0.88,40981.06
2019,25.39,53364.51,4.47,42811.17
2020,20.03,64053.83,76.2,75431.19
2021,14.54,73364.74,15.23,86921.47
2022,-20.48,58336.11,-2.93,84376.11
2023,16.83,68152.72,1.97,86038.72
2024,11.38,75911.37,8.98,93761.31
2025,12.66,85519.94,-10.32,84087.56
2026,12.97,96614.26,2.23,85966.57
