Year,IWM Ret %,IWM Value,Strategy Ret %,Strategy Value
2003,43.93,14393.43,83.67,18366.82
2004,18.05,16991.95,-16.72,15295.82
2005,4.46,17750.27,5.8,16182.84
2006,18.27,20993.72,33.19,21554.61
2007,-1.79,20618.0,-15.49,18216.76
2008,-34.14,13578.86,-2.49,17762.79
2009,28.49,17447.01,33.9,23785.15
2010,26.92,22143.46,10.8,26354.94
2011,-4.43,21163.22,-23.78,20088.36
2012,16.7,24698.28,13.09,22718.23
2013,38.7,34255.68,135.32,53461.06
2014,5.04,35980.91,-19.98,42782.2
2015,-4.48,34369.35,-18.27,34963.89
2016,21.59,41790.17,35.2,47272.68
2017,14.58,47884.22,37.08,64800.8
2018,-11.12,42558.9,-8.38,59369.96
2019,25.39,53364.51,3.66,61544.56
2020,20.03,64053.83,88.19,115818.25
2021,14.54,73364.74,27.17,147287.53
2022,-20.48,58336.11,-17.97,120823.25
2023,16.83,68152.71,7.59,129991.88
2024,11.38,75911.36,11.65,145141.4
2025,12.66,85519.93,-15.55,122573.74
2026,14.78,98162.99,35.66,166282.5
